Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2010-01-01,,,68.825,68.94300887392329
2010-01-04,1.0,1.0,68.875,68.9622195392105
2010-01-05,1.0,1.0,69.105,68.97773989489886
2010-01-06,0.0,-1.0,69.105,68.95132182957573
2010-01-07,0.0,1.0,69.105,68.95637952840218
2010-01-08,0.0,1.0,69.105,68.99519679446402
2010-01-11,0.0,1.0,69.105,69.0067229446598
2010-01-12,0.0,1.0,69.105,69.02073062681932
2010-01-13,0.0,-1.0,69.105,68.9933716496456
2010-01-14,-1.0,1.0,68.825,68.99805332435106
2010-01-15,0.0,1.0,68.825,69.03702848192903
2010-01-18,1.0,1.0,69.105,69.0515780148769
2010-01-19,-1.0,1.0,69.005,69.06712340891738
2010-01-20,-1.0,-1.0,68.855,69.04136556219241
2010-01-21,1.0,1.0,69.005,69.04757327537486
2010-01-22,-1.0,1.0,68.975,69.08785492152101
2010-01-25,0.0,1.0,68.975,69.10356969160972
2010-01-26,1.0,1.0,69.225,69.11814207768042
2010-01-27,-1.0,-1.0,68.865,69.09054275729297
2010-01-28,1.0,1.0,68.975,69.09395712203073
2010-01-29,0.0,1.0,68.975,69.13043473236597
2010-02-01,0.0,-1.0,68.975,69.12850866058062
2010-02-02,0.0,1.0,68.975,69.13522181388193
2010-02-03,0.0,-1.0,68.975,69.09890004104862
2010-02-04,0.0,-1.0,68.975,69.0928494765753
2010-02-05,0.0,1.0,68.975,69.11926770206989
2010-02-08,0.0,-1.0,68.975,69.08541633114511
2010-02-09,1.0,-1.0,69.125,69.08159507495654
2010-02-10,0.0,-1.0,69.125,69.03516140915
2010-02-11,0.0,-1.0,69.125,69.01964543609793
2010-02-12,1.0,1.0,69.375,69.03746227023339
2010-02-15,-1.0,-1.0,69.125,68.98494775078366
2010-02-16,0.0,-1.0,69.125,68.97782739533537
2010-02-17,0.0,-1.0,69.125,68.9297544060013
2010-02-18,0.0,-1.0,69.125,68.91432685322516
2010-02-19,0.0,1.0,69.125,68.93398974669397
2010-02-22,0.0,-1.0,69.125,68.89726283985058
2010-02-23,0.0,1.0,69.125,68.8985258678506
2010-02-24,0.0,-1.0,69.125,68.8601561546739
2010-02-25,0.0,-1.0,69.125,68.85555807496678
2010-02-26,1.0,1.0,69.325,68.8869559218573
2010-03-01,-1.0,1.0,69.125,68.8883694699149
2010-03-02,0.0,1.0,69.125,68.90243888646155
2010-03-03,0.0,-1.0,69.125,68.87647593269892
2010-03-04,0.0,1.0,69.125,68.88362968534521
2010-03-05,0.0,1.0,69.125,68.9258866826149
2010-03-08,0.0,1.0,69.125,68.95253261680277
2010-03-09,0.0,1.0,69.125,68.97206660381921
2010-03-10,1.0,-1.0,69.345,68.94994257735209
2010-03-11,-1.0,1.0,69.125,68.95928146286225
2010-03-12,0.0,1.0,69.125,69.00208552639697
2010-03-15,0.0,1.0,69.125,69.02134379527651
2010-03-16,0.0,1.0,69.125,69.03587025196899
2010-03-17,1.0,-1.0,69.25,69.00778463961608
2010-03-18,1.0,1.0,69.325,69.01044017881834
2010-03-19,-1.0,1.0,69.25,69.04609050117125
2010-03-22,-1.0,-1.0,69.125,69.04371978151671
2010-03-23,1.0,1.0,69.375,69.05186178097901
2010-03-24,-1.0,-1.0,69.345,69.0182176316413
2010-03-25,0.0,-1.0,69.345,69.01635766470034
2010-03-26,-1.0,1.0,69.075,69.04872326063054
2010-03-29,1.0,-1.0,69.325,69.04521484764801
2010-03-30,0.0,1.0,69.325,69.0561191354156
2010-03-31,-1.0,-1.0,69.075,69.02681421983803
2010-04-01,-1.0,1.0,68.875,69.03080563913086
2010-04-02,0.0,1.0,68.875,69.07042563974088
