Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2017-12-29,,,2426.0,2426.13485089228
2018-01-01,1.0,1.0,2426.5,2426.7205673535495
2018-01-02,1.0,1.0,2427.5,2427.174344936885
2018-01-03,0.0,1.0,2427.5,2427.8017360636095
2018-01-04,0.0,1.0,2427.5,2428.071314798509
2018-01-05,0.0,1.0,2427.5,2428.4343056368007
2018-01-08,0.0,1.0,2427.5,2429.043083726179
2018-01-09,1.0,1.0,2431.5,2429.532229166808
2018-01-10,-1.0,1.0,2431.0,2430.174895028278
2018-01-11,0.0,1.0,2431.0,2430.451048486642
2018-01-12,0.0,1.0,2431.0,2430.8196064809194
2018-01-15,-1.0,1.0,2428.5,2431.428965356946
2018-01-16,-1.0,1.0,2426.5,2431.9189907962254
2018-01-17,1.0,1.0,2427.5,2432.5620480965836
2018-01-18,-1.0,1.0,2425.0,2432.8383814510807
2018-01-19,-1.0,1.0,2420.5,2433.207094836125
2018-01-22,-1.0,1.0,2419.5,2433.816487855255
2018-01-23,1.0,1.0,2424.5,2434.3065547058754
2018-01-24,-1.0,1.0,2420.0,2434.9496415315916
2018-01-25,-1.0,1.0,2419.5,2435.225999260977
2018-01-26,-1.0,1.0,2419.0,2435.59473641815
2018-01-29,1.0,1.0,2424.0,2436.2041502544184
2018-01-30,0.0,1.0,2424.0,2436.6942380919786
2018-01-31,0.0,1.0,2424.0,2437.337345608716
2018-02-01,1.0,1.0,2424.5,2437.6137238969754
2018-02-02,-1.0,1.0,2414.5,2437.9824815914535
2018-02-05,-1.0,1.0,2413.5,2438.5919158862666
2018-02-06,-1.0,1.0,2408.5,2439.0820241795914
2018-02-07,0.0,1.0,2408.5,2439.725152137992
2018-02-08,1.0,1.0,2411.5,2440.0015508577976
2018-02-09,1.0,1.0,2413.5,2440.3703289763957
2018-02-12,-1.0,1.0,2398.5,2440.9797836865146
2018-02-13,-1.0,1.0,2396.5,2441.469912388181
2018-02-14,1.0,1.0,2398.5,2442.1130607476857
2018-02-15,0.0,1.0,2398.5,2442.389479861457
2018-02-16,-1.0,1.0,2396.0,2442.758278366951
