Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2017-12-29,,,82.775,77.65239
2018-01-01,1.0,1.0,82.795,78.28161
2018-01-02,0.0,1.0,82.795,78.345535
2018-01-03,0.0,-1.0,82.795,78.33457
2018-01-04,1.0,-1.0,82.805,78.320175
2018-01-05,1.0,1.0,82.825,78.391
2018-01-08,1.0,-1.0,82.855,78.300026
2018-01-09,1.0,1.0,82.865,78.341675
2018-01-10,0.0,-1.0,82.865,78.340256
2018-01-11,1.0,-1.0,82.875,78.337204
2018-01-12,1.0,1.0,82.915,78.38261
2018-01-15,-1.0,-1.0,82.895,78.31356
2018-01-16,-1.0,1.0,82.805,78.32378
2018-01-17,1.0,-1.0,82.885,78.07356
2018-01-18,1.0,1.0,82.925,78.12464
2018-01-19,1.0,1.0,82.965,78.39665
2018-01-22,1.0,-1.0,83.085,78.32713
2018-01-23,-1.0,1.0,83.005,78.380066
2018-01-24,0.0,1.0,83.005,78.42952
2018-01-25,-1.0,-1.0,82.995,78.32714
2018-01-26,1.0,1.0,83.005,78.34812
2018-01-29,-1.0,-1.0,82.995,78.266594
2018-01-30,0.0,1.0,82.995,78.31765
2018-01-31,0.0,1.0,82.995,78.33672
2018-02-01,1.0,-1.0,83.005,78.30273
2018-02-02,-1.0,-1.0,82.995,78.14925
2018-02-05,1.0,1.0,83.075,78.195114
2018-02-06,-1.0,1.0,82.915,78.35677
2018-02-07,1.0,-1.0,83.005,78.3079
2018-02-08,0.0,-1.0,83.005,78.280045
2018-02-09,0.0,-1.0,83.005,78.14635
2018-02-12,1.0,1.0,83.14,78.179436
2018-02-13,-1.0,1.0,82.975,78.280334
2018-02-14,1.0,1.0,83.14,78.38073
2018-02-15,-1.0,-1.0,83.005,78.29355
2018-02-16,0.0,1.0,83.005,78.47481
2018-02-19,1.0,-1.0,83.055,78.203514
2018-02-20,-1.0,1.0,83.035,78.26485
2018-02-21,-1.0,1.0,83.02,78.3098
2018-02-22,-1.0,-1.0,83.005,78.1054
2018-02-23,0.0,1.0,83.005,78.26949
2018-02-26,1.0,-1.0,83.015,78.174
2018-02-27,1.0,1.0,83.045,78.23763
2018-02-28,-1.0,1.0,83.015,78.25499
2018-03-01,1.0,1.0,83.025,78.27932
2018-03-02,0.0,1.0,83.025,78.33061
2018-03-05,1.0,-1.0,83.035,78.251434
2018-03-06,-1.0,1.0,83.025,78.284225
2018-03-07,0.0,-1.0,83.025,78.19719
2018-03-08,-1.0,1.0,83.005,78.31597
2018-03-09,1.0,1.0,83.035,78.36473
2018-03-12,-1.0,-1.0,83.005,78.23728
2018-03-13,1.0,1.0,83.025,78.278305
2018-03-14,-1.0,-1.0,83.005,78.25494
2018-03-15,1.0,1.0,83.18,78.25645
2018-03-16,-1.0,1.0,83.025,78.55381
2018-03-19,0.0,-1.0,83.025,78.390915
2018-03-20,-1.0,-1.0,83.005,78.252815
2018-03-21,1.0,-1.0,83.025,78.24087
2018-03-22,-1.0,1.0,83.015,78.25637
2018-03-23,1.0,1.0,83.045,78.34235
2018-03-26,0.0,-1.0,83.045,78.30607
2018-03-27,1.0,-1.0,84.005,78.2068
2018-03-28,-1.0,1.0,83.035,78.78802
2018-03-29,0.0,-1.0,83.035,78.09349
2018-03-30,1.0,-1.0,83.045,78.01488
2018-04-02,0.0,1.0,83.045,78.16403
2018-04-03,-1.0,1.0,83.005,78.25627
2018-04-04,-1.0,-1.0,83.0,78.228745
2018-04-05,1.0,-1.0,83.025,78.03556
2018-04-06,1.0,1.0,83.045,78.20524
2018-04-09,-1.0,1.0,82.95,78.21117
2018-04-10,1.0,-1.0,83.045,77.98716
2018-04-11,-1.0,1.0,83.04,78.24671
2018-04-12,-1.0,-1.0,83.005,78.11062
2018-04-13,1.0,1.0,83.025,78.37533
2018-04-16,-1.0,-1.0,83.005,78.147736
2018-04-17,1.0,1.0,83.015,78.22598
2018-04-18,1.0,-1.0,83.055,77.86098
2018-04-19,-1.0,1.0,83.045,78.153114
2018-04-20,1.0,1.0,84.55,78.326996
2018-04-23,0.0,1.0,84.55,78.47703
2018-04-24,1.0,1.0,84.6,78.64471
2018-04-25,0.0,-1.0,84.6,78.29634
2018-04-26,0.0,-1.0,84.6,78.24383
2018-04-27,0.0,-1.0,84.6,78.20783
2018-04-30,0.0,-1.0,84.6,78.19249
2018-05-01,0.0,-1.0,84.6,78.07774
2018-05-02,1.0,-1.0,84.725,78.068886
2018-05-03,0.0,1.0,84.725,78.291336
2018-05-04,-1.0,-1.0,83.025,78.1766
2018-05-07,1.0,1.0,84.725,79.35184
2018-05-08,0.0,-1.0,84.725,76.73454
2018-05-09,0.0,1.0,84.725,78.06452
2018-05-10,0.0,-1.0,84.725,78.05517
2018-05-11,-1.0,1.0,83.155,78.05591
2018-05-14,1.0,-1.0,84.175,77.39284
2018-05-15,1.0,1.0,84.8,77.93426
2018-05-16,0.0,1.0,84.8,79.9466
2018-05-17,0.0,-1.0,84.8,78.59586
2018-05-18,0.0,-1.0,84.8,77.98814
2018-05-21,-1.0,1.0,83.785,79.44147
2018-05-22,-1.0,-1.0,83.765,77.99836
2018-05-23,1.0,-1.0,84.5,77.63318
2018-05-24,0.0,1.0,84.5,77.78615
2018-05-25,0.0,1.0,84.5,78.08061
2018-05-28,0.0,1.0,84.5,78.281975
2018-05-29,-1.0,-1.0,83.785,78.01491
2018-05-30,1.0,1.0,84.5,78.102844
2018-05-31,0.0,-1.0,84.5,77.23533
2018-06-01,1.0,1.0,84.65,78.10557
2018-06-04,0.0,1.0,84.65,78.74907
2018-06-05,-1.0,-1.0,83.795,78.31706
2018-06-06,1.0,1.0,84.65,78.99711
2018-06-07,0.0,-1.0,84.65,77.48088
2018-06-08,0.0,1.0,84.65,78.09627
2018-06-11,-1.0,1.0,84.525,78.89196
2018-06-12,0.0,-1.0,84.525,78.06045
2018-06-13,1.0,-1.0,84.6,78.01528
2018-06-14,-1.0,1.0,84.5,78.207596
2018-06-15,0.0,-1.0,84.5,77.93578
2018-06-18,0.0,1.0,84.5,77.97785
2018-06-19,0.0,1.0,84.5,78.051056
2018-06-20,0.0,1.0,84.5,78.06053
2018-06-21,0.0,-1.0,84.5,78.05937
2018-06-22,0.0,1.0,84.5,78.09234
2018-06-25,0.0,-1.0,84.5,78.0454
2018-06-26,0.0,1.0,84.5,78.10493
2018-06-27,-1.0,-1.0,83.75,78.096214
2018-06-28,-1.0,1.0,83.735,78.21372
2018-06-29,1.0,-1.0,83.795,78.059944
2018-07-02,1.0,1.0,83.825,78.120605
2018-07-03,0.0,1.0,83.825,78.19622
2018-07-04,1.0,-1.0,83.965,78.17222
2018-07-05,-1.0,-1.0,83.795,77.66723
2018-07-06,1.0,1.0,83.9,78.27197
2018-07-09,-1.0,-1.0,83.795,77.651535
2018-07-10,0.0,1.0,83.795,78.19689
2018-07-11,1.0,-1.0,83.805,78.16014
2018-07-12,-1.0,-1.0,83.795,78.14584
2018-07-13,1.0,-1.0,84.5,78.08236
2018-07-16,0.0,-1.0,84.5,77.88714
2018-07-17,0.0,1.0,84.5,78.19057
2018-07-18,0.0,-1.0,84.5,78.0734
2018-07-19,0.0,1.0,84.5,78.076675
2018-07-20,0.0,0.0,84.5,78.076675
2018-07-23,0.0,-1.0,84.5,78.071236
2018-07-24,0.0,-1.0,84.5,78.06729
2018-07-25,0.0,-1.0,84.5,78.0598
2018-07-26,0.0,1.0,84.5,78.061775
2018-07-27,0.0,1.0,84.5,78.062035
2018-07-30,0.0,1.0,84.5,78.06902
2018-07-31,0.0,1.0,84.5,78.080215
2018-08-01,0.0,-1.0,84.5,78.06126
2018-08-02,0.0,1.0,84.5,78.068954
2018-08-03,0.0,-1.0,84.5,78.05885
2018-08-06,0.0,-1.0,84.5,78.05345
2018-08-07,0.0,1.0,84.5,78.05491
2018-08-08,0.0,1.0,84.5,78.05885
2018-08-09,0.0,0.0,84.5,78.05885
2018-08-10,0.0,0.0,84.5,78.05885
2018-08-13,0.0,-1.0,84.5,78.055244
2018-08-14,0.0,-1.0,84.5,78.051735
2018-08-15,-1.0,1.0,84.025,78.47488
2018-08-16,-1.0,-1.0,83.805,78.09017
2018-08-17,0.0,1.0,83.805,78.21299
2018-08-20,0.0,-1.0,83.805,78.12106
2018-08-21,0.0,1.0,83.805,78.17271
2018-08-22,1.0,-1.0,83.95,78.144295
2018-08-23,-1.0,-1.0,83.9,77.728386
2018-08-24,-1.0,1.0,83.815,77.78214
2018-08-27,-1.0,1.0,83.77,78.146614
2018-08-28,1.0,-1.0,83.81,77.94272
2018-08-29,-1.0,-1.0,83.805,77.93366
2018-08-30,-1.0,1.0,83.795,78.09778
2018-08-31,0.0,1.0,83.795,78.17343
2018-09-03,-1.0,-1.0,83.74,78.1657
2018-09-04,1.0,-1.0,83.805,78.002365
2018-09-05,-1.0,1.0,83.8,78.11225
