Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2017-12-29,,,82.775,69.80108
2018-01-01,1.0,1.0,82.795,69.801155
2018-01-02,0.0,0.0,82.795,69.801155
2018-01-03,0.0,0.0,82.795,69.801155
2018-01-04,1.0,0.0,82.805,69.801155
2018-01-05,1.0,-1.0,82.825,69.801094
2018-01-08,1.0,1.0,82.855,69.801155
2018-01-09,1.0,0.0,82.865,69.801155
2018-01-10,0.0,1.0,82.865,69.80117
2018-01-11,1.0,-1.0,82.875,69.801155
2018-01-12,1.0,-1.0,82.915,69.801094
2018-01-15,-1.0,1.0,82.895,69.80114
2018-01-16,-1.0,1.0,82.805,69.80116
2018-01-17,1.0,1.0,82.885,69.801216
2018-01-18,1.0,-1.0,82.925,69.80117
2018-01-19,1.0,-1.0,82.965,69.80111
2018-01-22,1.0,1.0,83.085,69.80117
2018-01-23,-1.0,1.0,83.005,69.801186
2018-01-24,0.0,0.0,83.005,69.801186
2018-01-25,-1.0,1.0,82.995,69.8012
2018-01-26,1.0,-1.0,83.005,69.80114
2018-01-29,-1.0,1.0,82.995,69.801186
2018-01-30,0.0,1.0,82.995,69.80121
2018-01-31,0.0,-1.0,82.995,69.8012
2018-02-01,1.0,0.0,83.005,69.8012
2018-02-02,-1.0,0.0,82.995,69.8012
2018-02-05,1.0,-1.0,83.075,69.801186
2018-02-06,-1.0,-1.0,82.915,69.80116
2018-02-07,1.0,1.0,83.005,69.8012
2018-02-08,0.0,-1.0,83.005,69.80117
2018-02-09,0.0,1.0,83.005,69.801186
2018-02-12,1.0,0.0,83.14,69.801186
2018-02-13,-1.0,0.0,82.975,69.801186
2018-02-14,1.0,1.0,83.14,69.8012
2018-02-15,-1.0,-1.0,83.005,69.801186
2018-02-16,0.0,-1.0,83.005,69.801125
2018-02-19,1.0,1.0,83.055,69.8012
2018-02-20,-1.0,0.0,83.035,69.8012
2018-02-21,-1.0,-1.0,83.02,69.801155
2018-02-22,-1.0,1.0,83.005,69.80124
2018-02-23,0.0,-1.0,83.005,69.801155
2018-02-26,1.0,1.0,83.015,69.801216
2018-02-27,1.0,-1.0,83.045,69.80121
2018-02-28,-1.0,1.0,83.015,69.801216
2018-03-01,1.0,1.0,83.025,69.80122
2018-03-02,0.0,-1.0,83.025,69.80117
2018-03-05,1.0,1.0,83.035,69.80122
2018-03-06,-1.0,-1.0,83.025,69.801216
2018-03-07,0.0,1.0,83.025,69.80131
2018-03-08,-1.0,-1.0,83.005,69.80122
2018-03-09,1.0,-1.0,83.035,69.80113
2018-03-12,-1.0,1.0,83.005,69.80122
2018-03-13,1.0,1.0,83.025,69.80123
2018-03-14,-1.0,1.0,83.005,69.801254
2018-03-15,1.0,1.0,83.18,69.80127
2018-03-16,-1.0,-1.0,83.025,69.801125
2018-03-19,0.0,1.0,83.025,69.80129
2018-03-20,-1.0,0.0,83.005,69.80129
2018-03-21,1.0,0.0,83.025,69.80129
2018-03-22,-1.0,0.0,83.015,69.80129
2018-03-23,1.0,-1.0,83.045,69.8012
2018-03-26,0.0,0.0,83.045,69.8012
2018-03-27,1.0,1.0,84.005,69.8013
2018-03-28,-1.0,-1.0,83.035,69.8012
