Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2017-12-29,,,82.775,76.62589
2018-01-01,1.0,1.0,82.795,76.626564
2018-01-02,0.0,1.0,82.795,76.62672
2018-01-03,0.0,-1.0,82.795,76.62662
2018-01-04,1.0,0.0,82.805,76.62662
2018-01-05,1.0,-1.0,82.825,76.625885
2018-01-08,1.0,1.0,82.855,76.626656
2018-01-09,1.0,1.0,82.865,76.62666
2018-01-10,0.0,1.0,82.865,76.62676
2018-01-11,1.0,-1.0,82.875,76.626495
2018-01-12,1.0,-1.0,82.915,76.62582
2018-01-15,-1.0,1.0,82.895,76.626495
2018-01-16,-1.0,1.0,82.805,76.62654
2018-01-17,1.0,1.0,82.885,76.62682
2018-01-18,1.0,-1.0,82.925,76.62656
2018-01-19,1.0,-1.0,82.965,76.62622
2018-01-22,1.0,1.0,83.085,76.62674
2018-01-23,-1.0,1.0,83.005,76.62714
2018-01-24,0.0,-1.0,83.005,76.626686
2018-01-25,-1.0,1.0,82.995,76.62707
2018-01-26,1.0,-1.0,83.005,76.62623
2018-01-29,-1.0,1.0,82.995,76.626785
2018-01-30,0.0,1.0,82.995,76.62716
2018-01-31,0.0,-1.0,82.995,76.62715
2018-02-01,1.0,0.0,83.005,76.62715
2018-02-02,-1.0,-1.0,82.995,76.62678
2018-02-05,1.0,1.0,83.075,76.626785
2018-02-06,-1.0,1.0,82.915,76.6268
2018-02-07,1.0,1.0,83.005,76.62681
2018-02-08,0.0,1.0,83.005,76.62686
2018-02-09,0.0,-1.0,83.005,76.62639
2018-02-12,1.0,1.0,83.14,76.6268
2018-02-13,-1.0,1.0,82.975,76.627014
2018-02-14,1.0,-1.0,83.14,76.62689
2018-02-15,-1.0,1.0,83.005,76.62704
2018-02-16,0.0,-1.0,83.005,76.626076
2018-02-19,1.0,1.0,83.055,76.62699
2018-02-20,-1.0,1.0,83.035,76.62713
2018-02-21,-1.0,-1.0,83.02,76.626335
2018-02-22,-1.0,1.0,83.005,76.627205
2018-02-23,0.0,-1.0,83.005,76.62638
2018-02-26,1.0,1.0,83.015,76.62708
2018-02-27,1.0,0.0,83.045,76.62708
2018-02-28,-1.0,1.0,83.015,76.627235
2018-03-01,1.0,-1.0,83.025,76.62719
2018-03-02,0.0,-1.0,83.025,76.62653
2018-03-05,1.0,1.0,83.035,76.627205
2018-03-06,-1.0,1.0,83.025,76.62722
2018-03-07,0.0,1.0,83.025,76.62813
2018-03-08,-1.0,-1.0,83.005,76.627235
2018-03-09,1.0,-1.0,83.035,76.6261
2018-03-12,-1.0,1.0,83.005,76.62725
2018-03-13,1.0,1.0,83.025,76.62729
2018-03-14,-1.0,1.0,83.005,76.62759
2018-03-15,1.0,1.0,83.18,76.627655
2018-03-16,-1.0,-1.0,83.025,76.62659
2018-03-19,0.0,1.0,83.025,76.62798
2018-03-20,-1.0,-1.0,83.005,76.62794
2018-03-21,1.0,1.0,83.025,76.62795
2018-03-22,-1.0,0.0,83.015,76.62795
2018-03-23,1.0,-1.0,83.045,76.62694
2018-03-26,0.0,1.0,83.045,76.62697
2018-03-27,1.0,1.0,84.005,76.628044
2018-03-28,-1.0,1.0,83.035,76.62874
2018-03-29,0.0,-1.0,83.035,76.628395
2018-03-30,1.0,-1.0,83.045,76.62653
2018-04-02,0.0,1.0,83.045,76.628204
2018-04-03,-1.0,-1.0,83.005,76.628174
2018-04-04,-1.0,-1.0,83.0,76.62814
2018-04-05,1.0,1.0,83.025,76.628265
2018-04-06,1.0,-1.0,83.045,76.62764
2018-04-09,-1.0,1.0,82.95,76.62795
2018-04-10,1.0,1.0,83.045,76.62833
2018-04-11,-1.0,-1.0,83.04,76.62632
2018-04-12,-1.0,1.0,83.005,76.62823
