,Metric,Value,Lagged
0,"('Close', 'AUD')",0.48650386233927523,0.47832810751941035
1,"('Close', 'BDT')",0.9999999999999998,0.9320409776363571
2,"('Close', 'CNY')",0.10120093441599519,0.08157377967814967
3,"('Close', 'HKD')",0.5041970009643838,0.07896734599426336
4,"('Close', 'IDR')",0.7663520661797651,0.5412698658505348
5,"('Close', 'INR')",0.7497225826955219,0.7389055166344063
6,"('Close', 'JPY')",0.39525647460187524,0.38798354938948615
7,"('Close', 'KRW')",0.015343298483858753,0.0013169574643917944
8,"('Close', 'LKR')",0.8030629918607822,0.7927395700345057
9,"('Close', 'MNT')",0.6886844761576929,0.6843109010033248
10,"('Close', 'MYR')",0.5287418004760994,0.5192801579435494
11,"('Close', 'NZD')",0.2718435391874992,0.25908524620086637
12,"('Close', 'PHP')",0.545297372988974,0.523188248096446
13,"('Close', 'PKR')",0.7247329775907008,0.7171395741991545
14,"('Close', 'SGD')",0.0928822076421527,0.07555198636930077
15,"('Close', 'THB')",0.05939989337585746,0.04707702669552389
16,"('Close', 'TWD')",-0.1508197366247894,-0.14456231851473178
17,"('Close', 'VND')",0.8348146606637095,0.779674600745831
18,"('High', 'AUD')",0.48045138034004,0.47231389792513895
19,"('High', 'BDT')",0.998590458114343,0.9328519011159865
20,"('High', 'CNY')",0.10665983461098713,0.08668989995059373
21,"('High', 'HKD')",0.49435242132272006,0.07794939572126942
22,"('High', 'IDR')",0.7638298390203866,0.5428733127531474
23,"('High', 'INR')",0.750084900183327,0.7392044982119884
24,"('High', 'JPY')",0.3912472384086435,0.38400214307142866
25,"('High', 'KRW')",0.00816579791758362,-0.004907589942327945
26,"('High', 'LKR')",0.8038564728867156,0.7935480068611102
27,"('High', 'MNT')",0.6893462927130155,0.6849522468383957
28,"('High', 'MYR')",0.5252292648811601,0.5157977760608042
29,"('High', 'NZD')",0.2588416233744116,0.24644880670917693
30,"('High', 'PHP')",0.5401407813795432,0.518138797179117
31,"('High', 'PKR')",0.7225532008326723,0.7150358346532699
32,"('High', 'SGD')",0.08609010170968326,0.06934654008853085
33,"('High', 'THB')",0.0627161166182682,0.05028054728240046
34,"('High', 'TWD')",-0.15444815203390608,-0.14798034961994425
35,"('High', 'VND')",0.8318003224903301,0.7757342219778893
36,"('Low', 'AUD')",0.4914084010738039,0.4832806453244709
37,"('Low', 'BDT')",0.9978889890079882,0.9313411708278724
38,"('Low', 'CNY')",0.09470094215083584,0.07558232814199424
39,"('Low', 'HKD')",0.5126307584373112,0.07969165987052802
40,"('Low', 'IDR')",0.7703201732857882,0.5423951341898872
41,"('Low', 'INR')",0.7499629359733919,0.7392554621606341
42,"('Low', 'JPY')",0.3987035590903915,0.3914526803069399
43,"('Low', 'KRW')",0.022113918991137894,0.0074325823702454195
44,"('Low', 'LKR')",0.8018382389791395,0.791503014372687
45,"('Low', 'MNT')",0.6901120482845711,0.6857945907569389
46,"('Low', 'MYR')",0.5319080414941756,0.5224460191152124
47,"('Low', 'NZD')",0.2831740855924101,0.27025723681905023
48,"('Low', 'PHP')",0.5502561424539792,0.5280781114580176
49,"('Low', 'PKR')",0.7275901583236154,0.7197951309745293
50,"('Low', 'SGD')",0.09774131199337625,0.08010674603100926
51,"('Low', 'THB')",0.05667120246048697,0.04451774491750417
52,"('Low', 'TWD')",-0.14510139545061068,-0.13917051570329167
53,"('Low', 'VND')",0.838416871787201,0.785493221261294
54,"('Open', 'AUD')",0.48608014950655176,0.4779951019364618
55,"('Open', 'BDT')",0.997964920193629,0.9337037205921578
56,"('Open', 'CNY')",0.10028099803641538,0.08080978069108893
57,"('Open', 'HKD')",0.5072306884205775,0.0799624053036264
58,"('Open', 'IDR')",0.768729547624675,0.543171723544434
59,"('Open', 'INR')",0.7501898335266114,0.7394375705516567
60,"('Open', 'JPY')",0.3945239341017059,0.3873045969469611
61,"('Open', 'KRW')",0.017971346330698752,0.003958038705129674
62,"('Open', 'LKR')",0.8021257263121792,0.791808052922486
63,"('Open', 'MNT')",0.6885316295399523,0.6841845690071591
64,"('Open', 'MYR')",0.5287576399491333,0.5193240252173248
65,"('Open', 'NZD')",0.2720151402652311,0.25944327790670135
66,"('Open', 'PHP')",0.5443971666468651,0.5223805724298932
67,"('Open', 'PKR')",0.7265538944260398,0.7189332849699303
68,"('Open', 'SGD')",0.09225053131453725,0.07514987102230622
69,"('Open', 'THB')",0.059956600329492335,0.0476637259981523
70,"('Open', 'TWD')",-0.1499453023426256,-0.14385244692824353
71,"('Open', 'VND')",0.8338438915137782,0.7790811863981408
72,"('Intraday_OC', 'AUD')",0.00968154008071917,0.007589541105171031
73,"('Intraday_OC', 'BDT')",-0.1794175231975991,-0.21299606039539948
74,"('Intraday_OC', 'CNY')",0.026455980451837256,0.023745875095996873
75,"('Intraday_OC', 'HKD')",-0.056398838943374746,-0.0555581754451714
76,"('Intraday_OC', 'IDR')",-0.04705149226407277,-0.04693256896108025
77,"('Intraday_OC', 'INR')",-0.07365268930263404,-0.07511465921943908
78,"('Intraday_OC', 'JPY')",0.0274260495776453,0.026198984301363762
79,"('Intraday_OC', 'KRW')",-0.02056054160712494,-0.023044007543140777
80,"('Intraday_OC', 'LKR')",0.027488496375883544,0.02858109100964698
81,"('Intraday_OC', 'MNT')",-0.024022116193432294,-0.025194096557418725
82,"('Intraday_OC', 'MYR')",0.014883536557785466,0.01361191498737317
83,"('Intraday_OC', 'NZD')",-0.0034185347215094164,-0.005867026196408622
84,"('Intraday_OC', 'PHP')",0.002391716477658758,0.0022392823710246966
85,"('Intraday_OC', 'PKR')",0.008182505684566452,0.006972540143464164
86,"('Intraday_OC', 'SGD')",0.006035101276902818,0.0038969354174326377
87,"('Intraday_OC', 'THB')",-0.010655792390667412,-0.011975279560007412
88,"('Intraday_OC', 'TWD')",-0.007529931290585821,-0.00746156053474356
89,"('Intraday_OC', 'VND')",-0.05072063099651723,-0.049871985712951865
90,"('Intraday_HL', 'AUD')",-0.36837479007127255,-0.37145485732930056
91,"('Intraday_HL', 'BDT')",0.12480050075874717,0.1213724603409941
92,"('Intraday_HL', 'CNY')",0.3473880265805438,0.3449704511041848
93,"('Intraday_HL', 'HKD')",-0.07684036482985532,-0.07930905550629057
94,"('Intraday_HL', 'IDR')",0.12659543958611894,0.13089986922596739
95,"('Intraday_HL', 'INR')",-0.2873693227673836,-0.2899361741413375
96,"('Intraday_HL', 'JPY')",-0.22566507864666152,-0.22798050482831547
97,"('Intraday_HL', 'KRW')",-0.12711560797622132,-0.13065563940025385
98,"('Intraday_HL', 'LKR')",0.1760112407743082,0.17630070593690594
99,"('Intraday_HL', 'MNT')",-0.43023961296046587,-0.43205440318168875
100,"('Intraday_HL', 'MYR')",-0.30788124710403814,-0.3081683989997587
101,"('Intraday_HL', 'NZD')",-0.39021113181348077,-0.3913307689286053
102,"('Intraday_HL', 'PHP')",-0.3390669082109166,-0.3412188094491311
103,"('Intraday_HL', 'PKR')",0.26304816308302853,0.26106469739944094
104,"('Intraday_HL', 'SGD')",-0.19853399378429476,-0.20108575098159576
105,"('Intraday_HL', 'THB')",0.16301375145105118,0.16162568023509413
106,"('Intraday_HL', 'TWD')",-0.18145344277187503,-0.1845916323339985
107,"('Intraday_HL', 'VND')",-0.5055469256871338,-0.5060386746934277
108,"('Prev_close_open', 'AUD')",0.02394932713396443,0.024004397612177562
109,"('Prev_close_open', 'BDT')",0.24285847774336083,0.23082061902649884
110,"('Prev_close_open', 'CNY')",0.022662304308841676,0.021479369031551895
111,"('Prev_close_open', 'HKD')",0.20862515368336587,0.2103492213953768
112,"('Prev_close_open', 'IDR')",0.043424698412483496,0.045089410344135765
113,"('Prev_close_open', 'INR')",0.16122612296756056,0.1642578375495679
114,"('Prev_close_open', 'JPY')",-0.02843418077760067,-0.028221651171695325
115,"('Prev_close_open', 'KRW')",0.049791467444866226,0.0504012474580989
116,"('Prev_close_open', 'LKR')",0.04046502049428256,0.040151063528672155
117,"('Prev_close_open', 'MNT')",0.0522569168629933,0.05266569393784383
118,"('Prev_close_open', 'MYR')",-0.03379045119382724,-0.03416120410160624
119,"('Prev_close_open', 'NZD')",0.04110918427929889,0.04475260359916895
120,"('Prev_close_open', 'PHP')",0.0031805558699517416,-0.0016491935964901955
121,"('Prev_close_open', 'PKR')",0.055134181739794695,0.05493580759968878
122,"('Prev_close_open', 'SGD')",0.027687378568628213,0.02794535165207315
123,"('Prev_close_open', 'THB')",0.022361732239120028,0.020922398250031962
124,"('Prev_close_open', 'TWD')",0.03479795559437609,0.034400887424759566
125,"('Prev_close_open', 'VND')",0.01328172990632607,0.012346473540837713
126,"('Open_Ret', 'AUD')",0.014171719283037077,0.013682081723893003
127,"('Open_Ret', 'BDT')",0.0011212757656848494,0.0021844894039638003
128,"('Open_Ret', 'CNY')",0.03176755187258852,0.032507273280307385
129,"('Open_Ret', 'HKD')",-0.014213878950238299,-0.014627046087903509
130,"('Open_Ret', 'IDR')",-0.010825026887139266,-0.012721916430762023
131,"('Open_Ret', 'INR')",-0.0007081576402621234,0.0022216925550502904
132,"('Open_Ret', 'JPY')",0.022298942649518493,0.022947850116526655
133,"('Open_Ret', 'KRW')",0.0018867178503741595,0.0012349325688293437
134,"('Open_Ret', 'LKR')",0.05427281419829525,0.05508088268657069
135,"('Open_Ret', 'MNT')",0.021072273406326454,0.020691178396108026
136,"('Open_Ret', 'MYR')",0.006038902991263741,0.00527041967156996
137,"('Open_Ret', 'NZD')",0.0035078204177814397,0.004507874467537496
138,"('Open_Ret', 'PHP')",0.0012871222951220446,0.0020050831902835645
139,"('Open_Ret', 'PKR')",0.044191102407165984,0.0471000605156907
140,"('Open_Ret', 'SGD')",0.011163727511244372,0.010939154252070715
141,"('Open_Ret', 'THB')",-0.0034060868301926408,-0.0036565298509564346
142,"('Open_Ret', 'TWD')",0.010609306564879264,0.007449009986515646
143,"('Open_Ret', 'VND')",-0.040529992579787386,-0.04146131188697978
144,"('High_Ret', 'AUD')",0.014486596663200804,0.01308358248062736
145,"('High_Ret', 'BDT')",0.0011113873387978757,-0.019081717498691687
146,"('High_Ret', 'CNY')",0.035446778086285845,0.03380858987384119
147,"('High_Ret', 'HKD')",-0.016147605093803582,-0.01582501764209966
148,"('High_Ret', 'IDR')",-0.014572591704137524,-0.011422272315526581
149,"('High_Ret', 'INR')",-0.0009445980399944435,0.000410819061445978
150,"('High_Ret', 'JPY')",0.026371450138730802,0.024752645172202034
151,"('High_Ret', 'KRW')",0.0003281879909769137,-0.001621097558384615
152,"('High_Ret', 'LKR')",0.052362554702489614,0.053000736191759414
153,"('High_Ret', 'MNT')",0.027484217031957504,0.026101140852817468
154,"('High_Ret', 'MYR')",0.005587642098237122,0.00495000475571596
