,Metric,Value,Lagged
0,"('Close', 'AUD')",0.13986570386903568,0.13974801137955656
1,"('Close', 'BDT')",0.046183177405429515,0.04476043972242264
2,"('Close', 'CNY')",-0.2834150981497948,-0.2583110093411685
3,"('Close', 'HKD')",-0.0704465746467218,-0.013510252080126878
4,"('Close', 'IDR')",-0.6388886695426272,-0.46918324198710615
5,"('Close', 'INR')",0.19744762559609902,0.19660728299451272
6,"('Close', 'JPY')",0.3488629645515145,0.34596688074870013
7,"('Close', 'KRW')",-0.27255622604740404,-0.24260134945331435
8,"('Close', 'LKR')",0.0020076541963870882,0.0022588640994438314
9,"('Close', 'MNT')",0.13972021554199315,0.13978950264910447
10,"('Close', 'MYR')",0.15544399948260001,0.15606491729334387
11,"('Close', 'NZD')",-0.038821091644257295,-0.036413459267839836
12,"('Close', 'PHP')",-0.0021770909994012844,-0.00043058173032616085
13,"('Close', 'PKR')",-0.025668992697031216,-0.0257850045194047
14,"('Close', 'SGD')",-0.07987263540456975,-0.07117367768633638
15,"('Close', 'THB')",0.17064408259683717,0.1633745973840388
16,"('Close', 'TWD')",-0.09103629829325374,-0.07775169312227385
17,"('Close', 'VND')",0.3198878060501769,0.30392782297800197
18,"('High', 'AUD')",0.14057866099203084,0.14041870239678172
19,"('High', 'BDT')",0.0402362888391413,0.03921528399342975
20,"('High', 'CNY')",-0.2794993694655947,-0.2549544777649686
21,"('High', 'HKD')",-0.0716135218720477,-0.013934497348014989
22,"('High', 'IDR')",-0.6393047494890407,-0.47208583247314495
23,"('High', 'INR')",0.19474324072024451,0.19391131618327687
24,"('High', 'JPY')",0.3492217569589511,0.3462863063979307
25,"('High', 'KRW')",-0.2638615691556058,-0.23577218211489542
26,"('High', 'LKR')",0.001419935652690243,0.0016695115512066635
27,"('High', 'MNT')",0.13895552263499056,0.13900122491635042
28,"('High', 'MYR')",0.15568642208602695,0.15626297280992596
29,"('High', 'NZD')",-0.037957278985588934,-0.03558493762555471
30,"('High', 'PHP')",-0.008121780268581118,-0.006320264715123525
31,"('High', 'PKR')",-0.02840384524597758,-0.02850975586198681
32,"('High', 'SGD')",-0.07644538445831615,-0.0681078373193722
33,"('High', 'THB')",0.17252591287557975,0.1651058858489035
34,"('High', 'TWD')",-0.08622752715307894,-0.07387508376796492
35,"('High', 'VND')",0.3148599930255242,0.29882079411540585
36,"('Low', 'AUD')",0.13796559810337805,0.13788082269244592
37,"('Low', 'BDT')",0.04641661783524883,0.04498190698649201
38,"('Low', 'CNY')",-0.2865446099629129,-0.26096647431345926
39,"('Low', 'HKD')",-0.06884480638662736,-0.013039317485579953
40,"('Low', 'IDR')",-0.6398665561019464,-0.46867354335185535
41,"('Low', 'INR')",0.19990217272257035,0.19900513548448892
42,"('Low', 'JPY')",0.3486248206234048,0.3457667359132711
43,"('Low', 'KRW')",-0.28087145003283337,-0.24925104795122188
44,"('Low', 'LKR')",0.0025442606382187556,0.0027456426458308926
45,"('Low', 'MNT')",0.14186547472828695,0.1419425345574773
46,"('Low', 'MYR')",0.1534220466322589,0.15404607906418818
47,"('Low', 'NZD')",-0.04126041590889989,-0.03878182945705846
48,"('Low', 'PHP')",0.00264811022906002,0.004293880950817216
49,"('Low', 'PKR')",-0.020184958656811296,-0.020327158861570393
50,"('Low', 'SGD')",-0.08484276938788335,-0.07576901153157013
51,"('Low', 'THB')",0.16717311917238525,0.16007726122551943
52,"('Low', 'TWD')",-0.10075099517017685,-0.08588981360254123
53,"('Low', 'VND')",0.32138099848679597,0.30635489653878617
54,"('Open', 'AUD')",0.13902797499046607,0.13885544935451596
55,"('Open', 'BDT')",0.0442237119620467,0.04297421850687119
56,"('Open', 'CNY')",-0.2832157581224684,-0.2581469557110346
57,"('Open', 'HKD')",-0.07108598668257016,-0.013743607449111088
58,"('Open', 'IDR')",-0.6395604979299663,-0.4698218489675739
59,"('Open', 'INR')",0.19694960752928545,0.19604366719777824
60,"('Open', 'JPY')",0.34844312921547477,0.3455785557181435
61,"('Open', 'KRW')",-0.27224419056022553,-0.24248227478581516
62,"('Open', 'LKR')",0.0021259201092101473,0.0023207691517774473
63,"('Open', 'MNT')",0.13962582931007572,0.1396961125954374
64,"('Open', 'MYR')",0.15361385839018568,0.1541926270988869
65,"('Open', 'NZD')",-0.03987361344594279,-0.037511130870787786
66,"('Open', 'PHP')",-0.004392386823207368,-0.0026931899245834843
67,"('Open', 'PKR')",-0.023508642084584495,-0.02364765759921122
68,"('Open', 'SGD')",-0.08170202129475743,-0.07294868922213953
69,"('Open', 'THB')",0.16838946844658806,0.16118602150997427
70,"('Open', 'TWD')",-0.09337021394843281,-0.07999550576636931
71,"('Open', 'VND')",0.31606336920371314,0.3004633989671509
72,"('Intraday_OC', 'AUD')",0.015383268758673236,0.016962244889754095
73,"('Intraday_OC', 'BDT')",0.0158546210616476,0.01554829980965263
74,"('Intraday_OC', 'CNY')",-0.009986680807707255,-0.008554797605382991
75,"('Intraday_OC', 'HKD')",0.010323262926004254,0.012914457394929697
76,"('Intraday_OC', 'IDR')",0.01673291462176774,0.017402680852596632
77,"('Intraday_OC', 'INR')",-0.0006621634871345425,0.002107110944660424
