,Metric,Value,Lagged
0,"('Close', 'AUD')",0.9026925610731789,0.8897987342878608
1,"('Close', 'BDT')",0.6886844761576929,0.6379884601455409
2,"('Close', 'CNY')",0.5077684374750374,0.4510633469425093
3,"('Close', 'HKD')",0.611665657357361,0.09686648158715919
4,"('Close', 'IDR')",0.5946304439289766,0.3937796238030384
5,"('Close', 'INR')",0.8984413053069543,0.8848656097144227
6,"('Close', 'JPY')",0.7804686049619479,0.7678101089742302
7,"('Close', 'KRW')",0.1767752422697083,0.1450173328306389
8,"('Close', 'LKR')",0.9370038620962267,0.9242296838256461
9,"('Close', 'MNT')",1.0,0.9941883817298259
10,"('Close', 'MYR')",0.9048364258414217,0.8909525954216
11,"('Close', 'NZD')",0.6782488989868143,0.6550851778554118
12,"('Close', 'PHP')",0.9062891207583545,0.8732559857024547
13,"('Close', 'PKR')",0.8249484322457504,0.8157079793615563
14,"('Close', 'SGD')",0.6336662432367635,0.5728879927948496
15,"('Close', 'THB')",0.4263406793316389,0.3902888975126613
16,"('Close', 'TWD')",0.3000920998322973,0.24694503922584618
17,"('Close', 'VND')",0.8932690068974491,0.8339311598326189
18,"('High', 'AUD')",0.899112089786965,0.8861902261219342
19,"('High', 'BDT')",0.6964805255762294,0.6461162623811735
20,"('High', 'CNY')",0.5123939536695608,0.45571909099169317
21,"('High', 'HKD')",0.6057673705442195,0.09693772923746441
22,"('High', 'IDR')",0.5961771432703702,0.39754338664703454
23,"('High', 'INR')",0.8965454951680559,0.8829091745718102
24,"('High', 'JPY')",0.7782142780789125,0.765557712440672
25,"('High', 'KRW')",0.1782193313314316,0.14705226582063433
26,"('High', 'LKR')",0.9362389559479573,0.9234896189953317
27,"('High', 'MNT')",0.9999074146474556,0.9940992674467148
28,"('High', 'MYR')",0.9022596749257559,0.888334393437164
29,"('High', 'NZD')",0.6678311546021225,0.6448955286476648
30,"('High', 'PHP')",0.9030993227079938,0.8701142994332113
31,"('High', 'PKR')",0.8225378183410783,0.8134276361193176
32,"('High', 'SGD')",0.6259714941644511,0.56603497842439
