,Metric,Value,Lagged
0,"('Close', 'AUD')",0.8189552140920441,0.8092212828084927
1,"('Close', 'BDT')",0.6291479147692738,0.586229994925597
2,"('Close', 'CNY')",0.28535049536050905,0.2535640953139985
3,"('Close', 'HKD')",0.3939475846757609,0.06404174213545918
4,"('Close', 'IDR')",-0.5389147983573926,-0.39356710310472554
5,"('Close', 'INR')",0.8858850688239073,0.8748535337553087
6,"('Close', 'JPY')",0.842491112832319,0.8312869726223154
7,"('Close', 'KRW')",0.022083970265185462,0.01211329966651619
8,"('Close', 'LKR')",0.7972930947700376,0.7878860985982803
9,"('Close', 'MNT')",0.9134965047334792,0.9095298936502043
10,"('Close', 'MYR')",0.8771256770189825,0.8661493079525634
11,"('Close', 'NZD')",0.518527727159748,0.5026580458530913
12,"('Close', 'PHP')",0.7691085651222965,0.7440659467716743
13,"('Close', 'PKR')",0.5980478637742694,0.5918418251574549
14,"('Close', 'SGD')",0.5623681219347342,0.5128651133139117
15,"('Close', 'THB')",0.5871422284894988,0.5468112762569911
16,"('Close', 'TWD')",0.2604658417103984,0.219110996031891
17,"('Close', 'VND')",0.8691061878796686,0.815725836184993
18,"('High', 'AUD')",0.8160949145942409,0.8063331530714292
19,"('High', 'BDT')",0.6350293423502796,0.5924714263741891
20,"('High', 'CNY')",0.2903311301458028,0.2583553097793325
21,"('High', 'HKD')",0.3843746321166281,0.06285681707977725
22,"('High', 'IDR')",-0.541124473129048,-0.39747082334209516
23,"('High', 'INR')",0.8833433669516597,0.8722669933258478
24,"('High', 'JPY')",0.8418052428542917,0.8306108270649886
25,"('High', 'KRW')",0.02702196641992192,0.016735212233592305
26,"('High', 'LKR')",0.7977520989567295,0.7883551274325091
27,"('High', 'MNT')",0.9134556123631586,0.9094464388653349
28,"('High', 'MYR')",0.8751786317803452,0.8641454235787206
29,"('High', 'NZD')",0.5095936674048251,0.4939322086449048
30,"('High', 'PHP')",0.7642715635976841,0.7393163467887678
31,"('High', 'PKR')",0.5940267863865085,0.5878989964016245
32,"('High', 'SGD')",0.5568237175112116,0.507936883357066
33,"('High', 'THB')",0.5887941305127564,0.5485478642641628
34,"('High', 'TWD')",0.26147465524995567,0.2206056882445037
35,"('High', 'VND')",0.8700226765105766,0.8154873026228602
36,"('Low', 'AUD')",0.8212465582614721,0.8115259543864088
37,"('Low', 'BDT')",0.6287774055215143,0.5859175874193079
38,"('Low', 'CNY')",0.2803423614965324,0.24873891142733393
39,"('Low', 'HKD')",0.4022252534179835,0.064926639345316
40,"('Low', 'IDR')",-0.5397293062480142,-0.3930860880416242
41,"('Low', 'INR')",0.8878880194090778,0.8769162845885964
42,"('Low', 'JPY')",0.843644368401198,0.8324678006744373
43,"('Low', 'KRW')",0.017148263455523515,0.00756134463286251
44,"('Low', 'LKR')",0.7976709738354183,0.7882640271758062
45,"('Low', 'MNT')",0.9143270520540924,0.9104040848272177
46,"('Low', 'MYR')",0.8783931142855509,0.8674026352894381
47,"('Low', 'NZD')",0.5263640912275629,0.5103653501665837
48,"('Low', 'PHP')",0.7718220108853265,0.7467632954209881
49,"('Low', 'PKR')",0.6046996127713802,0.5982472336425344
50,"('Low', 'SGD')",0.5654886391414093,0.5157115626053316
51,"('Low', 'THB')",0.5863866358863616,0.5459465093537921
52,"('Low', 'TWD')",0.25728325712873534,0.21555104891218593
53,"('Low', 'VND')",0.8686969044136114,0.8177549646072704
54,"('Open', 'AUD')",0.818717289890778,0.8089574000883383
55,"('Open', 'BDT')",0.6353845383575959,0.5931272348017641
56,"('Open', 'CNY')",0.28461213264298246,0.25284663010511627
57,"('Open', 'HKD')",0.39547869635441624,0.06463870670639456
58,"('Open', 'IDR')",-0.5407404269848394,-0.39521334730154956
59,"('Open', 'INR')",0.8858202388997776,0.8747991340243674
60,"('Open', 'JPY')",0.8427169056755506,0.8315586274118315
61,"('Open', 'KRW')",0.02331612611175356,0.013158277325432422
62,"('Open', 'LKR')",0.797749229945088,0.7883547062713447
63,"('Open', 'MNT')",0.9134225259053881,0.9094694210675384
64,"('Open', 'MYR')",0.8766150491246276,0.8655649910757945
65,"('Open', 'NZD')",0.5182140532454235,0.5023423715449825
66,"('Open', 'PHP')",0.7666365225346918,0.741706102012285
67,"('Open', 'PKR')",0.6024056238759931,0.5960895346141154
68,"('Open', 'SGD')",0.5608115315300787,0.5115848970703487
69,"('Open', 'THB')",0.5884122008128142,0.5479870401959689
70,"('Open', 'TWD')",0.26114718316975616,0.2197739810082393
71,"('Open', 'VND')",0.8694949288418322,0.8164344418406967
72,"('Intraday_OC', 'AUD')",0.005422406059453648,0.0059716972791038015
73,"('Intraday_OC', 'BDT')",-0.22893344384770334,-0.22941280000521305
74,"('Intraday_OC', 'CNY')",0.026039435995526345,0.026309888330496425
75,"('Intraday_OC', 'HKD')",-0.034294181808621864,-0.033485778283828926
76,"('Intraday_OC', 'IDR')",0.03397316760382472,0.038310412238264716
77,"('Intraday_OC', 'INR')",-0.061438656457711974,-0.060620606632246554
78,"('Intraday_OC', 'JPY')",0.0037132136621698714,0.002455293728169374
79,"('Intraday_OC', 'KRW')",-0.008869229016988037,-0.008381786224217064
80,"('Intraday_OC', 'LKR')",-0.06381709545096974,-0.06379785394887401
81,"('Intraday_OC', 'MNT')",-0.052490432856377695,-0.0527336291600526
82,"('Intraday_OC', 'MYR')",0.042577057891650026,0.04472172981663117
83,"('Intraday_OC', 'NZD')",0.003239981263041869,0.0033959108334716544
84,"('Intraday_OC', 'PHP')",0.030864970968630088,0.03175342899554967
85,"('Intraday_OC', 'PKR')",-0.11275111747714768,-0.11100225638322729
86,"('Intraday_OC', 'SGD')",0.006764802384979589,0.00671966510064453
87,"('Intraday_OC', 'THB')",-0.022941833371534354,-0.022754746433674953
88,"('Intraday_OC', 'TWD')",-0.01701511432902287,-0.015877319155789917
89,"('Intraday_OC', 'VND')",-0.08960103767722258,-0.08904721077140133
90,"('Intraday_HL', 'AUD')",-0.2524202877582765,-0.2539225859873394
91,"('Intraday_HL', 'BDT')",0.15113027302465384,0.15044330199239406
92,"('Intraday_HL', 'CNY')",0.3508433514562747,0.35061265770298583
93,"('Intraday_HL', 'HKD')",-0.09538687988273087,-0.09506229229330217
94,"('Intraday_HL', 'IDR')",-0.19181500718167832,-0.19052652279183352
95,"('Intraday_HL', 'INR')",-0.5163694495985137,-0.5167467859091982
96,"('Intraday_HL', 'JPY')",-0.09202702282663892,-0.09296801418778716
97,"('Intraday_HL', 'KRW')",0.11216977551790104,0.11088113702005584
