,Metric,Value,Lagged
0,"('Close', 'AUD')",-0.006408731011501088,-0.008201831095245875
1,"('Close', 'BDT')",0.013573626203404198,0.0008874899760360551
2,"('Close', 'CNY')",0.010457317593268678,0.00894029675025493
3,"('Close', 'HKD')",0.0120882548781456,0.0029097586304765457
4,"('Close', 'IDR')",-0.015603857059740373,-0.01184901819987876
5,"('Close', 'INR')",-0.016137007750144122,-0.016353010635490647
6,"('Close', 'JPY')",-0.01990935373219186,-0.02079871290636553
7,"('Close', 'KRW')",0.023023732756696034,0.015820994403011164
8,"('Close', 'LKR')",-0.018150028885837888,-0.01767985040612985
9,"('Close', 'MNT')",-0.006595880061273651,-0.006620540681094526
10,"('Close', 'MYR')",0.00028150256902116037,-1.972239476537408e-05
11,"('Close', 'NZD')",0.008024271624552081,0.004118558358381052
12,"('Close', 'PHP')",0.007532313320149934,0.006296357511377697
13,"('Close', 'PKR')",-0.01510679529904618,-0.014627920357657179
14,"('Close', 'SGD')",0.011516514016421562,0.006956076423486312
15,"('Close', 'THB')",-0.0007872486499008803,-0.0017637773909718322
16,"('Close', 'TWD')",0.0027332769313527794,0.0011226398372433128
17,"('Close', 'VND')",-0.004136085469497745,-0.003417878143247657
18,"('High', 'AUD')",-0.007332214776979032,-0.006859464906306514
19,"('High', 'BDT')",-0.008007791582422182,-0.0012504023150022045
20,"('High', 'CNY')",0.009980260298252105,0.009232299542093111
21,"('High', 'HKD')",0.012981724257353696,0.0034531516189016875
22,"('High', 'IDR')",-0.016589512304068497,-0.0123769295781587
23,"('High', 'INR')",-0.01625491608164743,-0.015960225070557485
24,"('High', 'JPY')",-0.020304753192502436,-0.020378344228708083
25,"('High', 'KRW')",0.02061111314721198,0.020237582492051126
26,"('High', 'LKR')",-0.018238774627504308,-0.0178516444321023
27,"('High', 'MNT')",-0.007040886543221619,-0.006967425188701671
28,"('High', 'MYR')",-0.0005749472035018135,0.00022504201741450474
29,"('High', 'NZD')",0.006385771077568991,0.007491764622472734
30,"('High', 'PHP')",0.0072617661717114795,0.0072630802905315935
31,"('High', 'PKR')",-0.014398420714547713,-0.014639789367186566
32,"('High', 'SGD')",0.010307962788440437,0.00937833394477583
33,"('High', 'THB')",-0.002311538540042713,-0.001184228824840895
34,"('High', 'TWD')",0.0012545608535744894,0.0017984093151624456
35,"('High', 'VND')",-0.0043775202635615495,-0.002851021715411498
36,"('Low', 'AUD')",-0.007334306986886044,-0.007501019882304126
37,"('Low', 'BDT')",-0.011609256893541394,-0.0028879087544032294
38,"('Low', 'CNY')",0.009608637677623683,0.009642547247746372
39,"('Low', 'HKD')",0.011035516877834356,0.002925307817309424
40,"('Low', 'IDR')",-0.01444440657353419,-0.010870811212134747
41,"('Low', 'INR')",-0.016364632754095373,-0.016097201434469813
42,"('Low', 'JPY')",-0.020322523412497826,-0.02017240059729639
43,"('Low', 'KRW')",0.019565817735409767,0.018209748211235364
44,"('Low', 'LKR')",-0.017763315969914952,-0.017256060608480336
45,"('Low', 'MNT')",-0.006960203889115565,-0.006763116032501964
46,"('Low', 'MYR')",0.00029493739412903746,0.0004329699488642481
47,"('Low', 'NZD')",0.007208022527848057,0.004809346291603775
48,"('Low', 'PHP')",0.0077139346953522875,0.006008434630541233
49,"('Low', 'PKR')",-0.015506533798515978,-0.015102378255722143
50,"('Low', 'SGD')",0.01060099672985555,0.008120096596863994
51,"('Low', 'THB')",-0.0009516633438017071,-0.000641938700893223
52,"('Low', 'TWD')",0.0010864770717003377,0.0019692179509626143
53,"('Low', 'VND')",-0.003445223785380652,-0.0027914671788533065
54,"('Open', 'AUD')",-0.008141231223478656,-0.006388912828812716
55,"('Open', 'BDT')",-0.0274139739056828,0.0017483475508305608
56,"('Open', 'CNY')",0.00863703292834755,0.00974390368700042
57,"('Open', 'HKD')",0.013569565694755502,0.003046472550197201
58,"('Open', 'IDR')",-0.015611369489151435,-0.011470934941934791
59,"('Open', 'INR')",-0.016840595030326953,-0.01610515491283524
60,"('Open', 'JPY')",-0.02088549419723909,-0.019730578689209823
61,"('Open', 'KRW')",0.017021938332650813,0.02257821229815195
62,"('Open', 'LKR')",-0.01777583024318852,-0.017552357951294072
63,"('Open', 'MNT')",-0.006966308255323408,-0.007052733383383189
64,"('Open', 'MYR')",-0.00045065798337210237,0.00035012786965950553
65,"('Open', 'NZD')",0.004949125170200119,0.008114640464653359
66,"('Open', 'PHP')",0.007374155519345619,0.007400271539689552
67,"('Open', 'PKR')",-0.015636925423175494,-0.014882845562689357
68,"('Open', 'SGD')",0.008547972369088143,0.011048631728326819
69,"('Open', 'THB')",-0.0019778313100179885,-0.00021149853724288
70,"('Open', 'TWD')",0.002515992317662534,0.002505921377871023
71,"('Open', 'VND')",-0.003251554785798199,-0.0028036372485106104
72,"('Intraday_OC', 'AUD')",0.04130404613519042,-0.04771423430134933
73,"('Intraday_OC', 'BDT')",0.6360159411938233,-0.016413102036644953
74,"('Intraday_OC', 'CNY')",0.0484969388816669,-0.024649146819974196
75,"('Intraday_OC', 'HKD')",-0.017712497614251376,-0.007676481194377222
76,"('Intraday_OC', 'IDR')",-0.001235861339398808,-0.008184606477909327
77,"('Intraday_OC', 'INR')",0.027683847040071333,-0.006286286106463318
78,"('Intraday_OC', 'JPY')",0.02341901694555515,-0.030409560751510162
79,"('Intraday_OC', 'KRW')",0.04680067130827963,-0.05841558615940032
80,"('Intraday_OC', 'LKR')",-0.02083714318480385,-0.011711610923153263
81,"('Intraday_OC', 'MNT')",0.023820082615048685,0.029571880044728063
82,"('Intraday_OC', 'MYR')",0.023858638419760443,-0.01162636875525284
83,"('Intraday_OC', 'NZD')",0.03889009136614028,-0.053378689851165555
84,"('Intraday_OC', 'PHP')",0.0037219195518058195,-0.025762559509743346
85,"('Intraday_OC', 'PKR')",0.020552162570299477,0.010018948122394768
86,"('Intraday_OC', 'SGD')",0.0408970143006263,-0.06245151722191426
87,"('Intraday_OC', 'THB')",0.022277517202700235,-0.031466365249363096
88,"('Intraday_OC', 'TWD')",0.0019329263637856567,-0.0186478854804348
89,"('Intraday_OC', 'VND')",-0.020922096835057778,-0.01623281253690763
90,"('Intraday_HL', 'AUD')",0.003988658842193642,0.024735689497776454
91,"('Intraday_HL', 'BDT')",0.04841504525579203,0.021130262210347972
92,"('Intraday_HL', 'CNY')",0.014769445124827323,-0.00887500889376712
93,"('Intraday_HL', 'HKD')",0.021874571532590044,0.02511959984528276
94,"('Intraday_HL', 'IDR')",-0.04031195900523161,-0.034666965130148795
95,"('Intraday_HL', 'INR')",0.015843925639285803,0.0139789097447467
96,"('Intraday_HL', 'JPY')",0.0014072233426696411,-0.008334442923791189
97,"('Intraday_HL', 'KRW')",0.01751449314966802,0.02846813256991497
98,"('Intraday_HL', 'LKR')",-0.02389283648182933,-0.026527464892609622
99,"('Intraday_HL', 'MNT')",0.0023847515469932225,-0.004824007461759587
100,"('Intraday_HL', 'MYR')",-0.02878477334748036,-0.006677111684980167
101,"('Intraday_HL', 'NZD')",-0.01157227825481424,0.046244745260367426
102,"('Intraday_HL', 'PHP')",-0.013447760331290332,0.03634954509194335
103,"('Intraday_HL', 'PKR')",0.017562319601109058,0.0024737914543588413
104,"('Intraday_HL', 'SGD')",-0.002968900073038495,0.024819197814969583
105,"('Intraday_HL', 'THB')",-0.03435599283523093,-0.0152691145842212
106,"('Intraday_HL', 'TWD')",0.0029941411420472235,-0.0022605858353013297
107,"('Intraday_HL', 'VND')",-0.009532597019228038,0.0011557635232982083
108,"('Prev_close_open', 'AUD')",-0.0028118864275476947,-0.01384152839979164
109,"('Prev_close_open', 'BDT')",0.2248031199458582,-0.22697090549126622
110,"('Prev_close_open', 'CNY')",0.02219287488068759,-0.0028202979015102317
111,"('Prev_close_open', 'HKD')",-0.0007081116913288086,-0.01687171446674356
112,"('Prev_close_open', 'IDR')",-0.008760489665566142,-0.027940452468603428
113,"('Prev_close_open', 'INR')",-0.018858001142377807,-0.015196866381979134
114,"('Prev_close_open', 'JPY')",0.0023407071338231557,-0.01839639939881415
115,"('Prev_close_open', 'KRW')",-0.012042768306665638,0.03218647585700227
116,"('Prev_close_open', 'LKR')",0.004715101488695962,0.03308164122009467
117,"('Prev_close_open', 'MNT')",-0.011531020065583176,-0.039573404565084756
118,"('Prev_close_open', 'MYR')",0.008099651029158517,0.000344440733589798
119,"('Prev_close_open', 'NZD')",-0.021879791284206394,0.012318299531306032
120,"('Prev_close_open', 'PHP')",0.03868451514410713,-0.0017673504154515525
121,"('Prev_close_open', 'PKR')",0.0042244645335143185,0.0036455485864359885
122,"('Prev_close_open', 'SGD')",-0.0009465149640437063,0.020000531225278284
123,"('Prev_close_open', 'THB')",0.03580503064320308,0.027343652249384315
124,"('Prev_close_open', 'TWD')",0.0023969622511771285,-0.004764903974587139
125,"('Prev_close_open', 'VND')",0.022793668901972947,0.02969459839830161
126,"('Open_Ret', 'AUD')",-0.0022081344378297187,0.03848166504024065
127,"('Open_Ret', 'BDT')",-0.03598400346689211,0.4886360745354719
128,"('Open_Ret', 'CNY')",-0.012870329823801202,0.03944030763430069
129,"('Open_Ret', 'HKD')",0.009344009657002104,-0.021261775521614665
