,Metric,Value,Lagged
0,"('Close', 'AUD')",-0.03565267709250309,-0.03581154591732689
1,"('Close', 'BDT')",-0.09591661813639317,-0.0861880300803457
2,"('Close', 'CNY')",0.038120866437406385,0.03938335409563367
3,"('Close', 'HKD')",-0.038943311310835046,0.004441075267355237
4,"('Close', 'IDR')",-0.013603955614748463,0.010098245510462733
5,"('Close', 'INR')",-0.07076597473169152,-0.06859808487438657
6,"('Close', 'JPY')",-0.030052751996404104,-0.02718357888559666
7,"('Close', 'KRW')",-0.006056762082678521,-0.005832213884001121
8,"('Close', 'LKR')",-0.044734572869257166,-0.04268604298526073
9,"('Close', 'MNT')",-0.04190276207992211,-0.04016527202032601
10,"('Close', 'MYR')",-0.05631206536984669,-0.05523101430952454
11,"('Close', 'NZD')",-0.015192096723767706,-0.01695008690018367
12,"('Close', 'PHP')",-0.03392770227289803,-0.031251265302889325
13,"('Close', 'PKR')",-0.03154296518279434,-0.02878608108818485
14,"('Close', 'SGD')",-0.0011237180586530257,0.0009881553858647198
15,"('Close', 'THB')",-0.03234817200535496,-0.028607280569152106
16,"('Close', 'TWD')",0.01789756605942218,0.020309706808810526
17,"('Close', 'VND')",-0.09875168813761183,-0.08758100776036207
18,"('High', 'AUD')",-0.035883499582552984,-0.03523758072555828
19,"('High', 'BDT')",-0.09657290715865705,-0.08772013713374348
20,"('High', 'CNY')",0.037397990862675076,0.03907283432551313
21,"('High', 'HKD')",-0.03689420889908574,0.005079283814561365
22,"('High', 'IDR')",-0.015171290029268408,0.010466841300941462
23,"('High', 'INR')",-0.07103675312477081,-0.06925913334949697
24,"('High', 'JPY')",-0.029929097119976718,-0.027357242387348442
25,"('High', 'KRW')",-0.0056170241763101245,-0.005116822707731652
26,"('High', 'LKR')",-0.044785985331218685,-0.04319326528582685
27,"('High', 'MNT')",-0.04184648597010773,-0.04048544740637995
28,"('High', 'MYR')",-0.055953620330959394,-0.055057257235832185
29,"('High', 'NZD')",-0.014651939736782228,-0.01591386390304798
30,"('High', 'PHP')",-0.03252321400232023,-0.030063239117470154
31,"('High', 'PKR')",-0.03139071647213469,-0.02874464019562289
32,"('High', 'SGD')",-0.0011015772164251604,0.000976550178419345
33,"('High', 'THB')",-0.03156442784726631,-0.028891455211006292
34,"('High', 'TWD')",0.018413228393030657,0.020222259207403108
35,"('High', 'VND')",-0.10056094407460443,-0.08838581314078801
36,"('Low', 'AUD')",-0.035233566261253894,-0.03420660067061872
37,"('Low', 'BDT')",-0.09561999360059718,-0.08553975817905829
38,"('Low', 'CNY')",0.0393480433303462,0.040616489504303986
39,"('Low', 'HKD')",-0.03763265981214481,0.004984246074536453
40,"('Low', 'IDR')",-0.012006001526574227,0.012247414076414852
41,"('Low', 'INR')",-0.06918344585441702,-0.06777116093099049
42,"('Low', 'JPY')",-0.029846396172327972,-0.02718298557930065
43,"('Low', 'KRW')",-0.004143061621637935,-0.0004961825475495172
44,"('Low', 'LKR')",-0.04363010631319591,-0.041663715577917135
45,"('Low', 'MNT')",-0.04177105209534737,-0.04050370479716514
46,"('Low', 'MYR')",-0.055556048306577024,-0.05428257865769082
47,"('Low', 'NZD')",-0.014455597282396792,-0.013979469160966948
48,"('Low', 'PHP')",-0.03403538086238033,-0.03159688765039814
49,"('Low', 'PKR')",-0.03194535064786323,-0.030131110692199727
50,"('Low', 'SGD')",0.0008262583088867455,0.004014127871912806
51,"('Low', 'THB')",-0.031115816008654252,-0.02735358169999314
52,"('Low', 'TWD')",0.01837684882317954,0.021316161989927033
53,"('Low', 'VND')",-0.10014506448004683,-0.08812224504648698
54,"('Open', 'AUD')",-0.034549671551260444,-0.03313513895569256
55,"('Open', 'BDT')",-0.09550754672946701,-0.08684398321617307
