,Metric,Value,Lagged
0,"('Close', 'AUD')",0.007092353257087338,0.006024545585406981
1,"('Close', 'BDT')",0.02402577143542698,0.02194600031058708
2,"('Close', 'CNY')",-0.03338897193618815,-0.03149933373198803
3,"('Close', 'HKD')",-0.014326120477986704,-0.005529644339590247
4,"('Close', 'IDR')",0.01169639781802745,0.004470680927930762
5,"('Close', 'INR')",0.05197501435163546,0.051515940732338124
6,"('Close', 'JPY')",0.012549559341640247,0.012051859273562348
7,"('Close', 'KRW')",-0.014925220521474016,-0.013848660443439608
8,"('Close', 'LKR')",0.019799185892764342,0.018980553329796986
9,"('Close', 'MNT')",0.019939942484690155,0.01885763176003763
10,"('Close', 'MYR')",0.010386168647734666,0.00986538007920175
11,"('Close', 'NZD')",-0.01772190197890708,-0.0188446062832124
12,"('Close', 'PHP')",-0.0021584516777573355,-0.0027631509624573398
13,"('Close', 'PKR')",0.01682915141525364,0.016766352069815808
14,"('Close', 'SGD')",-0.01783200014556737,-0.016740350471687076
15,"('Close', 'THB')",0.021412849108717637,0.02032949082778398
16,"('Close', 'TWD')",-0.001335440989385371,-0.0015156523866904676
17,"('Close', 'VND')",0.03270391328141591,0.02972880638459379
18,"('High', 'AUD')",0.006842056553826299,0.005736964088634487
19,"('High', 'BDT')",0.024083602727262197,0.022062401008216673
20,"('High', 'CNY')",-0.033513772323569856,-0.03146765231590092
21,"('High', 'HKD')",-0.01429064409243794,-0.0051876738734779795
22,"('High', 'IDR')",0.015955348684247344,0.005124359054682829
23,"('High', 'INR')",0.05271658773210285,0.05180172972732827
24,"('High', 'JPY')",0.012280911176888443,0.012199472547251606
25,"('High', 'KRW')",-0.014312056580175692,-0.014654453403452537
26,"('High', 'LKR')",0.020148536246007723,0.019020384690686464
27,"('High', 'MNT')",0.016319786141069804,0.018508459558810156
28,"('High', 'MYR')",0.010871389340763657,0.010021071506989911
29,"('High', 'NZD')",-0.01970781503929189,-0.018274421559119552
30,"('High', 'PHP')",-0.0025588022811147315,-0.0026460805613852164
31,"('High', 'PKR')",0.016823412578445204,0.016712575208016545
32,"('High', 'SGD')",-0.019105617160008186,-0.016883808359432147
33,"('High', 'THB')",0.021637077001181712,0.01956273091343058
34,"('High', 'TWD')",-0.0018051777924278291,-0.0027316006191048705
35,"('High', 'VND')",0.03143535372972312,0.028286342797178208
36,"('Low', 'AUD')",0.006467073519705772,0.006501960440191186
37,"('Low', 'BDT')",0.0247321104788591,0.021848085381440955
38,"('Low', 'CNY')",-0.03329238561055449,-0.03202895151009899
39,"('Low', 'HKD')",-0.012898923000262429,-0.005501332975977231
40,"('Low', 'IDR')",0.0063530514557890196,0.002494127809011415
41,"('Low', 'INR')",0.051723979356117285,0.05111008589334565
42,"('Low', 'JPY')",0.012289615918662932,0.012036717110143551
43,"('Low', 'KRW')",-0.014589503061699836,-0.014057826132399755
44,"('Low', 'LKR')",0.019385525557415444,0.01912851204679734
45,"('Low', 'MNT')",0.01487442180729984,0.017925150311468376
46,"('Low', 'MYR')",0.010970597699473195,0.009553381536707123
47,"('Low', 'NZD')",-0.019537985473302374,-0.01840421132565194
48,"('Low', 'PHP')",-0.0013788824252463489,-0.0021719399114918142
49,"('Low', 'PKR')",0.017507295045150167,0.017057487455285562
50,"('Low', 'SGD')",-0.018002158845034078,-0.016238577344373596
51,"('Low', 'THB')",0.021864344329492358,0.020148750189852984
52,"('Low', 'TWD')",0.0008308414217939071,-0.0012827982678761413
53,"('Low', 'VND')",0.03390988721481891,0.03115759535918277
54,"('Open', 'AUD')",0.006956493522009304,0.006500389134170671
55,"('Open', 'BDT')",0.024541673251225665,0.02207100931185226
56,"('Open', 'CNY')",-0.03304505570514258,-0.03152849089867169
57,"('Open', 'HKD')",-0.011098515910872575,-0.005304571987640465
58,"('Open', 'IDR')",0.007468851632088318,0.0027009342740282097
59,"('Open', 'INR')",0.0523482860439439,0.0512611256476497
60,"('Open', 'JPY')",0.01235800806630577,0.012102368614533619
61,"('Open', 'KRW')",-0.013373139581284605,-0.013672442144967689
62,"('Open', 'LKR')",0.019800001047036813,0.01926089584532133
63,"('Open', 'MNT')",0.012018714302213278,0.017873161558552602
64,"('Open', 'MYR')",0.011197630759488125,0.009814978535905496
65,"('Open', 'NZD')",-0.020060197230879304,-0.018231961691579448
66,"('Open', 'PHP')",-0.0013207611682654959,-0.002662538776886085
67,"('Open', 'PKR')",0.016997819337016093,0.016606408961434015
68,"('Open', 'SGD')",-0.01800862080868317,-0.017387917206844836
69,"('Open', 'THB')",0.02185759979628209,0.019613707317426964
70,"('Open', 'TWD')",0.0011806262267289476,-0.0025345818174628922
71,"('Open', 'VND')",0.03223898460989649,0.029699586041515232
72,"('Intraday_OC', 'AUD')",0.002798731838562402,-0.009687892669921616
73,"('Intraday_OC', 'BDT')",-0.014230989905838428,-0.00771099854432723
74,"('Intraday_OC', 'CNY')",-0.01080060298956191,0.0006204540711043856
75,"('Intraday_OC', 'HKD')",-0.037089823664719086,-0.012378286125740306
76,"('Intraday_OC', 'IDR')",0.07065494511033288,0.03899701988003206
77,"('Intraday_OC', 'INR')",-0.01665853441095574,0.012469982909436015
78,"('Intraday_OC', 'JPY')",0.004042383281719633,-0.0011673795078493048
79,"('Intraday_OC', 'KRW')",-0.0111799357650426,-0.002515469155745286
80,"('Intraday_OC', 'LKR')",-0.003281045310605716,-0.021228687609544335
81,"('Intraday_OC', 'MNT')",0.578687867700429,0.048518294036851144
82,"('Intraday_OC', 'MYR')",-0.0328939264943453,0.004530440365032746
83,"('Intraday_OC', 'NZD')",0.030117762861626728,-0.009086687529043805
84,"('Intraday_OC', 'PHP')",-0.022019906403715605,-0.002733319653883018
85,"('Intraday_OC', 'PKR')",-0.005213083681960894,0.013840719821786118
86,"('Intraday_OC', 'SGD')",0.0029333635969252497,0.009708460252067352
87,"('Intraday_OC', 'THB')",-0.00760600375942107,0.014851232212049252
88,"('Intraday_OC', 'TWD')",-0.029854821123837628,0.013767902816864377
89,"('Intraday_OC', 'VND')",0.0103654726313091,-0.0007934877997915547
90,"('Intraday_HL', 'AUD')",0.010951645315238226,-0.027588372427632377
91,"('Intraday_HL', 'BDT')",-0.005613724627932972,0.005175336232662809
92,"('Intraday_HL', 'CNY')",-0.01651154972848298,0.007563031403660187
93,"('Intraday_HL', 'HKD')",-0.01670358435006428,0.014398475012907391
94,"('Intraday_HL', 'IDR')",0.1653481645524633,0.06011943064369717
95,"('Intraday_HL', 'INR')",0.014040931987383065,0.006495607406395442
96,"('Intraday_HL', 'JPY')",-0.0032499324741963862,0.002193324327015702
97,"('Intraday_HL', 'KRW')",-0.00037873039575361366,-0.01039877705733015
98,"('Intraday_HL', 'LKR')",0.029938059935765905,-0.005853933689492702
99,"('Intraday_HL', 'MNT')",0.05884389775663811,0.012229414550144943
100,"('Intraday_HL', 'MYR')",-0.00885801401931238,0.014385367253444557
101,"('Intraday_HL', 'NZD')",-0.002764896318910678,0.003343017186133916
102,"('Intraday_HL', 'PHP')",-0.03672497783385159,-0.015399278430685524
103,"('Intraday_HL', 'PKR')",-0.005844895855455754,-0.00039693789753850075
