Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2018-01-01,1.0,1.0,6411.27,6411.228084379272
2018-01-02,1.0,1.0,6463.5,6418.621522227139
2018-01-03,-1.0,1.0,6459.66,6429.8753999588735
2018-01-04,1.0,1.0,6514.73,6441.679491185649
2018-01-05,1.0,-1.0,6540.51,6436.76638604691
2018-01-08,-1.0,1.0,6527.14,6438.354665440432
2018-01-09,-1.0,1.0,6502.96,6444.098251205436
2018-01-10,-1.0,1.0,6496.23,6453.424499467872
2018-01-11,-1.0,1.0,6473.62,6463.019105196116
2018-01-12,-1.0,-1.0,6454.112499999998,6455.617629443716
2018-01-15,-1.0,-1.0,6447.61,6448.213441524082
2018-01-16,-1.0,1.0,6439.34,6450.538981993421
2018-01-17,-1.0,1.0,6410.11,6456.300484171889
2018-01-18,0.0,1.0,6410.11,6462.232222173691
2018-01-19,1.0,-1.0,6421.4,6451.124049900893
2018-01-22,-1.0,-1.0,6418.05,6432.939001123756
2018-01-23,1.0,-1.0,6440.77,6431.994062993376
2018-01-24,1.0,1.0,6448.21,6434.750580757473
2018-01-25,1.0,1.0,6456.04,6438.00088152203
2018-01-26,-1.0,-1.0,6453.95,6424.5875874703515
2018-01-29,1.0,-1.0,6476.41,6402.160137040851
2018-01-30,1.0,-1.0,6487.43,6400.783253398825
2018-01-31,1.0,1.0,6498.45,6403.617140894135
2018-02-01,1.0,1.0,6520.46,6407.447088897226
2018-02-02,-1.0,-1.0,6514.52,6395.096232799111
2018-02-05,-1.0,-1.0,6512.54,6378.37559453857
2018-02-06,-1.0,1.0,6507.25,6379.558807070298
2018-02-07,1.0,1.0,6542.9,6385.1663140018145
2018-02-08,1.0,1.0,6572.29,6391.902592880528
2018-02-09,-1.0,-1.0,6542.99,6382.504744825517
2018-02-12,-1.0,-1.0,6537.625,6374.028237497415
2018-02-13,-1.0,1.0,6532.26,6377.460170643623
2018-02-14,1.0,1.0,6553.21,6384.929408755418
2018-02-15,1.0,1.0,6563.69,6393.068529648448
2018-02-16,1.0,-1.0,6565.63,6384.552560529287
2018-02-19,1.0,-1.0,6577.84,6375.157721138934
2018-02-20,1.0,1.0,6598.73,6377.019445620933
2018-02-21,-1.0,1.0,6571.54,6382.286376806968
2018-02-22,1.0,1.0,6575.39,6387.614673184195
2018-02-23,-1.0,-1.0,6560.32,6375.718513001346
2018-02-26,-1.0,-1.0,6559.42,6353.376137714027
2018-02-27,-1.0,-1.0,6551.78,6350.253410745343
2018-02-28,1.0,1.0,6554.4,6350.361298472789
2018-03-01,1.0,1.0,6557.02,6350.463262541271
2018-03-02,-1.0,-1.0,6552.81,6333.385221105775
2018-03-05,-1.0,-1.0,6533.46,6296.895378852359
2018-03-06,-1.0,-1.0,6503.86,6289.8869901273165
2018-03-07,1.0,-1.0,6521.24,6286.691191278736
2018-03-08,1.0,-1.0,6551.19,6284.157673349658
2018-03-09,-1.0,-1.0,6547.73,6265.186479332448
2018-03-12,1.0,-1.0,6554.83,6227.9980454209435
2018-03-13,-1.0,-1.0,6519.48,6222.513465665736
2018-03-14,-1.0,-1.0,6500.99,6221.726202966351
2018-03-15,1.0,1.0,6509.46,6222.46447322926
2018-03-16,-1.0,-1.0,6493.63,6207.590540233222
2018-03-19,-1.0,-1.0,6462.5,6187.045705825873
2018-03-20,-1.0,1.0,6445.97,6188.29497984273
2018-03-21,1.0,1.0,6451.51,6194.676460774574
2018-03-22,-1.0,1.0,6443.75,6202.912431376512
2018-03-23,1.0,-1.0,6448.6,6195.755051950806
2018-03-26,-1.0,1.0,6440.43,6198.559546048021
2018-03-27,-1.0,1.0,6440.2,6207.299586927163
2018-03-28,1.0,1.0,6476.78,6220.860039893965
2018-03-29,-1.0,1.0,6470.06,6235.876246598721
