Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2018-01-01,1.0,1.0,41486.87,47338.51031749405
2018-01-02,1.0,1.0,41544.27,47447.856080020945
2018-01-03,1.0,1.0,41908.71,47535.615236446916
2018-01-04,1.0,1.0,42523.99,47622.5230408647
2018-01-05,1.0,1.0,43112.12,47659.662411002995
2018-01-08,-1.0,1.0,42814.34,47814.42649641232
2018-01-09,1.0,1.0,43630.74,47899.375938254874
2018-01-10,-1.0,1.0,43395.28,47962.32589037478
2018-01-11,-1.0,1.0,42933.72,48024.337833371435
2018-01-12,-1.0,1.0,42347.49,48036.78910681662
2018-01-15,1.0,1.0,42939.68,48121.10559926295
2018-01-16,1.0,1.0,43358.97,48184.35659215189
2018-01-17,1.0,1.0,43580.88,48226.67988081894
2018-01-18,1.0,1.0,44178.83,48269.18057710156
2018-01-19,1.0,-1.0,44897.69,48263.240183917995
2018-01-22,1.0,1.0,44907.2,48298.63656478987
2018-01-23,1.0,1.0,45063.21,48347.38050024435
2018-01-24,-1.0,1.0,44816.71,48375.909498901754
2018-01-25,-1.0,1.0,44551.13,48405.20334924192
2018-01-26,-1.0,-1.0,44457.3,48386.51858188746
2018-01-29,-1.0,-1.0,44233.11,48385.33758846209
2018-01-30,-1.0,1.0,44049.05,48422.14760577995
2018-01-31,1.0,1.0,44255.48,48438.77934856902
2018-02-01,1.0,1.0,44301.2,48456.19531964561
2018-02-02,-1.0,-1.0,43989.4325,48425.66215921826
2018-02-05,-1.0,-1.0,43885.51,48389.61383039188
2018-02-06,1.0,1.0,44096.49,48415.31384488305
2018-02-07,-1.0,1.0,43679.87,48421.28338790785
2018-02-08,1.0,1.0,43808.8,48428.619762835675
2018-02-09,-1.0,-1.0,43515.08,48388.73038434251
2018-02-12,1.0,-1.0,43690.36,48330.3304212099
2018-02-13,-1.0,1.0,43353.04,48350.8937581046
2018-02-14,-1.0,1.0,42942.35,48353.04321521373
2018-02-15,1.0,1.0,43627.1,48357.93514786619
2018-02-16,-1.0,-1.0,43572.67,48317.00613763849
2018-02-19,-1.0,-1.0,43294.95,48263.711336400534
2018-02-20,-1.0,1.0,42919.78,48288.47803646392
2018-02-21,1.0,1.0,43528.51,48295.8784577124
2018-02-22,-1.0,1.0,43267.2,48306.901613411705
2018-02-23,-1.0,-1.0,42911.02,48272.79156200362
2018-02-26,1.0,-1.0,42994.96,48241.8859186373
2018-02-27,1.0,1.0,43239.44,48273.981550098244
2018-02-28,1.0,1.0,43510.39,48288.25488686426
2018-03-01,1.0,1.0,43740.49,48305.47637618619
2018-03-02,1.0,-1.0,43829.07,48276.691059354904
2018-03-05,-1.0,-1.0,43705.1,48254.95194090434
2018-03-06,-1.0,1.0,43441.18,48287.49004872993
2018-03-07,-1.0,1.0,43072.74,48300.83056750531
2018-03-08,-1.0,1.0,43011.26,48315.76980584316
2018-03-09,1.0,-1.0,43410.93,48283.42457795904
2018-03-12,1.0,-1.0,43618.07,48244.717124004754
2018-03-13,-1.0,1.0,43407.72,48270.160039842485
2018-03-14,1.0,1.0,43495.07,48276.0967814735
2018-03-15,-1.0,1.0,43363.21,48283.606724700876
2018-03-16,1.0,-1.0,43539.6,48244.10384641823
2018-03-19,1.0,-1.0,44309.74,48188.563650658994
2018-03-20,1.0,1.0,44645.95,48210.89935690506
2018-03-21,1.0,1.0,45030.22,48215.40682454145
2018-03-22,1.0,1.0,45043.5575,48223.37331977805
2018-03-23,1.0,-1.0,45083.57,48186.37932010247
2018-03-26,-1.0,-1.0,45004.19,48151.616494400274
2018-03-27,1.0,1.0,45172.99,48185.340505644206
2018-03-28,1.0,1.0,45489.62,48203.351638901724
2018-03-29,1.0,1.0,45560.3,48226.7853403065
2018-03-30,1.0,-1.0,45741.43,48207.01882627764
2018-04-02,1.0,1.0,46013.34,48231.796311277845
2018-04-03,1.0,1.0,46103.61,48286.90625336147
2018-04-04,1.0,1.0,46560.82,48326.470551634724
2018-04-05,1.0,1.0,46637.62,48371.24423825967
2018-04-06,-1.0,1.0,46580.62,48372.224515972215
2018-04-09,-1.0,1.0,46476.73,48452.086854952526
2018-04-10,1.0,1.0,46486.49,48522.10501885356
2018-04-11,-1.0,1.0,46331.71,48574.41023027421
2018-04-12,-1.0,1.0,46071.86,48629.56353131398
2018-04-13,-1.0,1.0,45682.24,48638.42234611098
2018-04-16,1.0,1.0,45801.73,48726.38927536492
2018-04-17,-1.0,1.0,45478.63,48794.05384987362
2018-04-18,-1.0,1.0,45387.77,48841.682768803534
2018-04-19,-1.0,1.0,45259.34,48890.03941525488
2018-04-20,1.0,1.0,45371.95,48890.2292706547
2018-04-23,1.0,1.0,45876.7,48943.97207234825
2018-04-24,-1.0,1.0,45718.34,48998.61563407036
2018-04-25,-1.0,1.0,45460.87,49033.008650047406
2018-04-26,1.0,1.0,45542.78,49068.26679345096
2018-04-27,-1.0,-1.0,45488.86,49055.83298661866
2018-04-30,-1.0,1.0,45342.61500000001,49077.5254970433
2018-05-01,-1.0,1.0,45196.37,49124.22979692061
2018-05-02,-1.0,1.0,44746.63,49152.34311182894
2018-05-03,-1.0,1.0,44536.91,49183.07575667192
2018-05-04,-1.0,-1.0,44378.52,49167.90994406859
2018-05-07,-1.0,1.0,44066.96,49191.73066044427
2018-05-08,-1.0,1.0,43795.0,49242.1777096836
2018-05-09,1.0,1.0,43855.78,49275.22871006851
2018-05-10,-1.0,1.0,43594.79,49311.84190835953
2018-05-11,-1.0,-1.0,42498.86,49303.217768671006
2018-05-14,-1.0,1.0,42459.53,49347.5380068731
2018-05-15,-1.0,1.0,42301.2,49404.04772497395
2018-05-16,-1.0,1.0,41869.65,49442.25997469474
2018-05-17,-1.0,1.0,41623.52,49482.84982673833
2018-05-18,1.0,-1.0,41648.65,49476.76302242754
2018-05-21,1.0,1.0,42744.82,49518.071322358905
2018-05-22,1.0,1.0,42772.25,49569.593501305695
2018-05-23,-1.0,1.0,42536.16,49600.7268329604
2018-05-24,-1.0,1.0,42074.09,49632.16266423163
2018-05-25,1.0,-1.0,42138.57,49614.91329754565
2018-05-28,1.0,-1.0,42622.74,49612.05187717635
2018-05-29,-1.0,1.0,42546.48,49645.953606761635
2018-05-30,1.0,1.0,42846.64,49658.43492882374
2018-05-31,1.0,1.0,42912.81,49670.47557061105
2018-06-01,1.0,-1.0,43268.29,49633.392009740426
2018-06-04,1.0,-1.0,43702.58,49571.52117621476
2018-06-05,1.0,1.0,44144.2,49586.93899202487
2018-06-06,-1.0,-1.0,43948.11,49582.00664256796
