Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2018-01-01,1.0,1.0,82.795,82.80644693862806
2018-01-02,0.0,1.0,82.795,82.83238469790994
2018-01-03,0.0,-1.0,82.795,82.81625628399719
2018-01-04,1.0,1.0,82.805,82.83143182220974
2018-01-05,1.0,1.0,82.825,82.88015844059734
2018-01-08,1.0,1.0,82.855,82.91993040327162
2018-01-09,1.0,1.0,82.865,82.94283303845066
2018-01-10,0.0,-1.0,82.865,82.92412261497215
2018-01-11,1.0,1.0,82.875,82.93723077176216
2018-01-12,1.0,1.0,82.915,82.98444471662054
2018-01-15,-1.0,1.0,82.895,83.02305763483952
2018-01-16,-1.0,1.0,82.805,83.04659758757566
2018-01-17,1.0,-1.0,82.885,83.02892722968967
2018-01-18,1.0,1.0,82.925,83.0433813860818
2018-01-19,1.0,1.0,82.965,83.09213304282146
2018-01-22,1.0,1.0,83.085,83.13517961853421
2018-01-23,-1.0,1.0,83.005,83.15966066882812
2018-01-24,0.0,-1.0,83.005,83.14242352176583
2018-01-25,-1.0,1.0,82.995,83.15666860691735
2018-01-26,1.0,1.0,83.005,83.20444725568751
2018-01-29,-1.0,1.0,82.995,83.23905497348201
2018-01-30,0.0,1.0,82.995,83.25868992971301
2018-01-31,0.0,-1.0,82.995,83.23556281735186
2018-02-01,1.0,1.0,83.005,83.24290311999094
2018-02-02,-1.0,1.0,82.995,83.28282253599167
2018-02-05,1.0,1.0,83.075,83.28918348728884
2018-02-06,-1.0,1.0,82.915,83.2983368304174
2018-02-07,1.0,-1.0,83.005,83.26449847019518
2018-02-08,0.0,-1.0,83.005,83.26110633465852
2018-02-09,0.0,1.0,83.005,83.29049134116926
2018-02-12,1.0,-1.0,83.14,83.26867359955493
2018-02-13,-1.0,1.0,82.975,83.27029478779257
2018-02-14,1.0,-1.0,83.14,83.23018073734498
2018-02-15,-1.0,-1.0,83.005,83.22193329839953
2018-02-16,0.0,1.0,83.005,83.24801920565059
2018-02-19,1.0,-1.0,83.055,83.22649662011804
2018-02-20,-1.0,1.0,83.035,83.2317118303661
2018-02-21,-1.0,-1.0,83.02,83.19689004444619
2018-02-22,-1.0,-1.0,83.005,83.1955439315693
2018-02-23,0.0,1.0,83.005,83.23001322226852
2018-02-26,1.0,1.0,83.015,83.24075833938437
2018-02-27,1.0,1.0,83.045,83.25837152641206
2018-02-28,-1.0,-1.0,83.015,83.23635245998062
2018-03-01,1.0,1.0,83.025,83.24794610573657
2018-03-02,0.0,1.0,83.025,83.29522178498239
2018-03-05,1.0,1.0,83.035,83.3409846442447
2018-03-06,-1.0,1.0,83.025,83.36835026101866
2018-03-07,0.0,-1.0,83.025,83.35479217575991
2018-03-08,-1.0,1.0,83.005,83.37340479672685
