Date,y_true_class,y_pred_class,y_true_reg,y_pred_reg
2018-01-01,1.0,1.0,2426.5,2595.7500904954823
2018-01-02,1.0,1.0,2427.5,2598.8799697487498
2018-01-03,0.0,1.0,2427.5,2602.079618065539
2018-01-04,0.0,1.0,2427.5,2604.800039148726
2018-01-05,0.0,1.0,2427.5,2607.807360778975
2018-01-08,0.0,1.0,2427.5,2614.2285199804996
2018-01-09,1.0,1.0,2431.5,2616.2258701233172
2018-01-10,-1.0,1.0,2431.0,2618.133043479245
2018-01-11,0.0,1.0,2431.0,2619.427937506143
2018-01-12,0.0,1.0,2431.0,2620.9059806570494
2018-01-15,-1.0,1.0,2428.5,2622.4310528074607
2018-01-16,-1.0,1.0,2426.5,2622.8002918413454
2018-01-17,1.0,1.0,2427.5,2623.133026075761
2018-01-18,-1.0,-1.0,2425.0,2622.9357296341373
2018-01-19,-1.0,1.0,2420.5,2623.0298758783683
2018-01-22,-1.0,-1.0,2419.5,2621.2645158448286
2018-01-23,1.0,-1.0,2424.5,2620.8753968343576
2018-01-24,-1.0,-1.0,2420.0,2620.6341816233717
2018-01-25,-1.0,-1.0,2419.5,2620.049894308952
2018-01-26,-1.0,-1.0,2419.0,2619.9422176798776
2018-01-29,1.0,-1.0,2424.0,2618.603553877544
2018-01-30,0.0,1.0,2424.0,2618.6564000064386
2018-01-31,0.0,1.0,2424.0,2618.977348627213
2018-02-01,1.0,1.0,2424.5,2619.054207197759
2018-02-02,-1.0,1.0,2414.5,2619.683974631872
2018-02-05,-1.0,1.0,2413.5,2620.7794374887567
2018-02-06,-1.0,1.0,2408.5,2621.6401047798568
2018-02-07,0.0,1.0,2408.5,2622.730938309662
2018-02-08,1.0,1.0,2411.5,2623.520672494689
2018-02-09,1.0,1.0,2413.5,2624.789583060962
2018-02-12,-1.0,1.0,2398.5,2627.2344719692296
2018-02-13,-1.0,1.0,2396.5,2628.3289471898706
2018-02-14,1.0,1.0,2398.5,2629.540108135905
2018-02-15,0.0,1.0,2398.5,2630.3380185838564
2018-02-16,-1.0,1.0,2396.0,2631.507144500884
2018-02-19,1.0,1.0,2397.5,2633.0839584434566
2018-02-20,0.0,1.0,2397.5,2633.7357810681115
2018-02-21,0.0,1.0,2397.5,2634.4493312370787
2018-02-22,1.0,1.0,2398.0,2634.708897430658
2018-02-23,-1.0,1.0,2396.0,2635.3133523175457
2018-02-26,-1.0,-1.0,2393.0,2635.1760768515273
2018-02-27,-1.0,1.0,2392.0,2635.2910758128432
2018-02-28,0.0,1.0,2392.0,2635.502200545394
2018-03-01,1.0,-1.0,2396.0,2635.3014074833686
2018-03-02,1.0,1.0,2397.0,2635.493271706343
2018-03-05,-1.0,-1.0,2396.0,2634.4313547654483
2018-03-06,1.0,-1.0,2396.5,2634.341472834844
2018-03-07,0.0,1.0,2396.5,2634.394353622715
2018-03-08,1.0,-1.0,2397.0,2634.0766461015346
2018-03-09,-1.0,1.0,2395.5,2634.186452146191
2018-03-12,-1.0,-1.0,2394.5,2633.0117467069445
2018-03-13,1.0,-1.0,2395.5,2632.9020879499512
2018-03-14,0.0,1.0,2395.5,2632.9312215941236
2018-03-15,1.0,-1.0,2397.0,2632.5789755960277
2018-03-16,1.0,1.0,2398.0,2632.6376130826766
2018-03-19,0.0,-1.0,2398.0,2631.1702321962052
2018-03-20,0.0,-1.0,2398.0,2630.9107862808924
