,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret,Sentiment,Close,Close_Ret,Sentiment
Currency,LKR,LKR,,PKR,PKR,,BDT,BDT,,MNT,MNT,
Idx,CSE All-Share,CSE All-Share,,Karachi 100,Karachi 100,,,,,,,
Date,,,,,,,68.875,0,,1432.5,0,
01-01-2010,3423.986,0.006649573,,9399.6525,-0.000344888,,68.825,-0.000725953,,1432.5,0,
04-01-2010,3481.64,0.009386395,,9437.85,-0.002436408,,68.875,0.00072648,,1432.5,0,
05-01-2010,3519.94,0.01116109,1,9657.38,0.009560239,1,69.105,0.003339383,1,1452.5,0.013961606,1
06-01-2010,3509.36,0.0082777,1,9727.36,0.011523527,1,69.105,0,1,1472.5,0.013769363,1
07-01-2010,3478.56,-0.000260566,1,9737.47,0.010515401,1,69.105,0,1,1472.5,0,1
08-01-2010,3514.63,-0.00047101,1,9776.21,0.004088018,1,69.105,0,0,1472.5,0,1
11-01-2010,3515.78,0.000639969,0,9797,0.002381458,1,69.105,0,0,1472.5,0,0
12-01-2010,3494.62,0.001559286,1,9778.36,0.001400805,1,69.105,0,0,1452.5,-0.013582343,0
13-01-2010,3536.71,0.002117618,1,9784.85,0.000295893,1,69.105,0,0,1452.5,0,0
14-01-2010,3549.925,0.003254057,1,9802.45,0.000186595,1,68.825,-0.004051805,0,1454.5,0.001376936,0
15-01-2010,3563.14,0.006501122,1,9923.14,0.004924879,1,68.825,0,0,1457.5,0.002062564,1
18-01-2010,3528.55,-0.000749531,1,9895.46,0.003773829,1,69.105,0.004068289,1,1442.5,-0.010291595,0
19-01-2010,3483.3,-0.006269693,0,9954.41,0.005160022,1,69.005,-0.001447073,1,1442.5,0,0
20-01-2010,3532.41,-0.002810998,0,9904.74,-0.000607304,1,68.855,-0.002173756,1,1442.5,0,0
21-01-2010,3519.71,-0.000773515,0,9753.84,-0.004755867,0,69.005,0.002178491,0,1444.5,0.001386482,1
22-01-2010,3531.73,0.004639491,1,9774.07,-0.006050274,0,68.975,-0.000434751,0,1442.5,-0.001384562,1
25-01-2010,3554.45,0.002084294,1,9689.2,-0.007281418,0,68.975,0,1,1442.5,0,1
26-01-2010,3591.38,0.006745985,1,9666.48,-0.002984668,0,69.225,0.003624502,1,1452.5,0.006932409,1
