Date,Open,High,Low,Close,Currency
2009-01-06,1.3939,1.4219,1.3755,1.3828,AUD
2009-01-07,1.3822,1.4101,1.3753,1.4054,AUD
2009-01-08,1.399,1.4376,1.3986,1.4029,AUD
2009-01-09,1.4041,1.4264,1.4027,1.4224,AUD
2009-01-12,1.4304,1.4737,1.4276,1.4699,AUD
2009-01-13,1.4663,1.5208,1.465,1.5063,AUD
2009-01-14,1.5038,1.52,1.4671,1.5151,AUD
2009-01-15,1.5133,1.5299,1.4919,1.5032,AUD
2009-01-16,1.5083,1.5093,1.4708,1.4857,AUD
2009-01-19,1.4782,1.4971,1.4605,1.4916,AUD
2009-01-20,1.4957,1.5457,1.4952,1.5438,AUD
2009-01-21,1.537,1.5493,1.5047,1.5054,AUD
2009-01-22,1.5074,1.541,1.5051,1.525,AUD
2009-01-23,1.5258,1.558,1.5175,1.5254,AUD
2009-01-26,1.5237,1.5398,1.5047,1.5171,AUD
2009-01-27,1.5152,1.5218,1.4877,1.509,AUD
2009-01-28,1.5126,1.5165,1.485,1.5027,AUD
2009-01-29,1.502,1.5348,1.4961,1.5317,AUD
2009-01-30,1.5319,1.5764,1.5312,1.5747,AUD
2009-02-02,1.5726,1.6011,1.5676,1.5839,AUD
2009-02-03,1.5828,1.5887,1.527,1.5341,AUD
2009-02-04,1.5359,1.5738,1.5288,1.5552,AUD
2009-02-05,1.5494,1.5624,1.5188,1.5336,AUD
2009-02-06,1.5326,1.5442,1.4695,1.4794,AUD
2009-02-09,1.4848,1.509,1.4592,1.4697,AUD
2009-02-10,1.4708,1.5424,1.4704,1.5322,AUD
2009-02-11,1.5258,1.5429,1.5142,1.525,AUD
2009-02-12,1.5256,1.5551,1.5108,1.5324,AUD
2009-02-13,1.5314,1.5334,1.5049,1.5206,AUD
2009-02-16,1.5328,1.545,1.5286,1.5414,AUD
2009-02-17,1.538,1.5759,1.5302,1.5754,AUD
2009-02-18,1.5738,1.5794,1.554,1.567,AUD
2009-02-19,1.5691,1.5722,1.5326,1.5546,AUD
2009-02-20,1.554,1.574,1.5382,1.5484,AUD
2009-02-23,1.5499,1.5612,1.5263,1.5583,AUD
2009-02-24,1.5586,1.5658,1.5316,1.5379,AUD
2009-02-25,1.537,1.5495,1.5249,1.546,AUD
2009-02-26,1.5451,1.5478,1.5253,1.5429,AUD
2009-02-27,1.5425,1.5774,1.5415,1.5629,AUD
2009-03-02,1.5645,1.5902,1.5615,1.5884,AUD
2009-03-03,1.5853,1.591,1.5468,1.5675,AUD
2009-03-04,1.5681,1.5912,1.5316,1.5402,AUD
2009-03-05,1.5394,1.5734,1.5382,1.5673,AUD
2009-03-06,1.5649,1.5705,1.5446,1.5599,AUD
2009-03-09,1.5601,1.5859,1.5494,1.5819,AUD
2009-03-10,1.583,1.5845,1.5404,1.5475,AUD
2009-03-11,1.5463,1.5628,1.5319,1.538,AUD
2009-03-12,1.5342,1.5595,1.5198,1.5242,AUD
2009-03-13,1.5228,1.5359,1.5133,1.5178,AUD
2009-03-16,1.526,1.532,1.506,1.5166,AUD
2009-03-17,1.5163,1.5227,1.509,1.5111,AUD
2009-03-18,1.5106,1.5229,1.4693,1.4714,AUD
2009-03-19,1.4678,1.4878,1.4395,1.4579,AUD
2009-03-20,1.4562,1.46,1.4422,1.4562,AUD
2009-03-23,1.4495,1.4502,1.4158,1.4169,AUD
2009-03-24,1.4184,1.4425,1.4092,1.4385,AUD
