,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open
Currency,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND,AUD,BDT,CNY,HKD,IDR,INR,JPY,KRW,LKR,MNT,MYR,NZD,PHP,PKR,SGD,THB,TWD,VND
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-06,1.3828,68.975,6.8365,7.7535,,48.44,93.41,1312.0,113.7,1292.5,3.5095,1.6749,46.95,78.65,1.469,35.31,33.125,17477.5,1.4219,68.975,6.8428,7.7548,,48.78,94.65,1330.9,113.85,1311.5,3.5185,1.7209999999999999,47.4,79.75,1.4811,35.36,33.213,17531.5,1.3755,67.5,6.83,7.751,,48.01,92.96,1299.9,113.5,1285.5,3.4955,1.6672,46.75,78.1,1.4684,35.25,32.945,17400.0,1.3939,67.5,6.83,7.7515,,48.26,93.25,1319.8,113.65,1292.5,3.5005,1.6941,47.2,79.05,1.4724,35.25,32.945,17400.0
2009-01-07,1.4054,68.125,6.8335,7.7519,,48.735,92.77,1292.7,113.83,1287.5,3.5005,1.6909999999999998,46.435,77.65,1.475,35.18,33.065,17478.5,1.4101,68.975,6.8391,7.7544,,48.935,94.16,1298.3,113.95,1312.5,3.5125,1.6959,46.875,79.25,1.4789,35.34,33.175,17532.5,1.3753,68.0,6.8279,7.7505,,48.145,92.34,1282.3,113.7,1287.5,3.4895,1.6562,46.25,77.1,1.4677,35.09,32.915,17400.0,1.3822,68.85,6.8347,7.7533,,48.335,93.4,1290.3,113.75,1292.5,3.5075,1.6692,46.7,78.7,1.4691,35.31,33.155,17400.0
2009-01-08,1.4029,67.625,6.8347,7.7561,,48.52,91.41,1330.0,113.83,1317.5,3.5405,1.6771,46.91,76.025,1.4851,35.07,33.125,17472.0,1.4376,68.375,6.8366,7.7567,,48.78,92.94,1337.75,114.0,1330.5,3.5425,1.7207,47.0,78.325,1.4851,35.28,33.178000000000004,17577.0,1.3986,67.5,6.8299,7.7501,,48.21,90.86,1306.55,113.7,1287.5,3.5055,1.6748,46.4,75.4,1.4752,35.07,32.955,17410.0,1.399,68.25,6.8312,7.7508,,48.63,92.76,1306.65,113.75,1287.5,3.5055,1.6863,46.6,77.7,1.4755,35.18,32.975,17460.0
2009-01-09,1.4224,67.625,6.8355,7.7569,,48.07,90.17,1348.5,113.8,1312.5,3.5405,1.6938,47.075,78.9,1.4853,35.08,33.22,17476.0,1.4264,68.375,6.8368,7.7621,,49.31,91.67,1350.5,114.0,1322.5,3.5465,1.6995,47.325,79.7,1.4853,35.16,33.22,17536.0,1.4027,67.5,6.8297,7.754,,47.99,90.17,1317.9,113.7,1300.5,3.5295,1.6739,46.65,75.3,1.4763,35.08,33.04,17420.0,1.4041,67.5,6.8325,7.7545,,48.36,91.41,1325.0,113.8,1322.2,3.5345,1.6756,46.94,75.3,1.4803,35.12,33.22,17472.0
2009-01-12,1.4699,68.125,6.8366,7.7546,,48.62,89.47,1354.55,113.85,1312.5,3.5715,1.7387,47.5,78.825,1.4897,35.26,33.28,17479.0,1.4737,68.975,6.8492,7.7591,,48.87,90.27,1371.45,113.95,1323.5,3.5745,1.7427,47.63,80.025,1.4906,35.26,33.309,17485.0,1.4276,68.0,6.8294,7.7532,,47.96,88.91,1345.45,113.7,1306.3,3.5465,1.6923,47.02,78.05,1.4841,35.17,33.11,17450.0,1.4304,68.75,6.8334,7.7563,,48.01,90.16,1352.95,113.85,1312.5,3.5465,1.6992,47.4,78.35,1.4849,35.18,33.2,17470.0
2009-01-13,1.5063,68.425,6.8342,7.757000000000001,,48.925,89.39,1354.0,113.8,1316.5,3.5785,1.8104,47.55,78.025,1.4901,35.14,33.255,17476.0,1.5208,68.975,6.8399,7.7576,,49.145,89.9,1383.9,113.95,1325.5,3.5875,1.8319,48.0,79.475,1.4948,35.44,33.33,17556.0,1.465,68.0,6.8316,7.7528,,48.375,88.82,1345.8,113.7,1304.8,3.5715,1.7337,47.24,77.75,1.4864,35.14,33.175,17420.0,1.4663,68.3,6.8346,7.7531,,48.475,89.49,1371.9,113.8,1322.5,3.5775,1.7355,47.7,77.9,1.4897,35.24,33.205,17500.0
2009-01-14,1.5151,68.425,6.835,7.7576,,48.64,89.16,1354.0,113.8,1315.5,3.5725,1.8484,47.085,78.525,1.494,35.19,33.21,17479.0,1.52,68.975,6.8397,7.7587,,48.99,89.98,1355.7,113.8,1340.5,3.5775,1.857,47.655,79.825,1.4968,35.2,33.345,17485.0,1.4671,68.25,6.8257,7.7537,,48.38,88.62,1337.8,113.7,1315.5,3.5575,1.7857,46.99,77.25,1.4832,34.98,33.16,17450.0,1.5038,68.3,6.832999999999999,7.7564,,48.76,89.39,1342.9,113.7,1330.5,3.5775,1.806,47.2,77.45,1.4901,35.18,33.27,17475.0
2009-01-15,1.5032,68.425,6.8365,7.7608,,48.895,89.99,1393.0,113.9,1327.5,3.594,1.8584,47.35,78.7,1.494,35.13,33.373000000000005,17480.0,1.5299,68.975,6.8411,7.7624,,49.235,90.04,1394.3,114.1,1352.5,3.597,1.8956,47.65,79.43,1.4994,35.22,33.379,17481.0,1.4919,68.3,6.8316,7.7553,,48.385,88.5,1351.4,113.75,1315.5,3.577,1.8318,47.0,77.8,1.4933,35.13,33.157,17450.0,1.5133,68.3,6.8327,7.7568,,48.535,89.17,1351.4,113.8,1315.5,3.577,1.8447,47.3,78.5,1.494,35.2,33.157,17475.0
