,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Currency,AUD,BDT,CNY,CNY,HKD,IDR,INR,INR,JPY,KRW,KRW,LKR,MNT,MYR,NZD,NZD,PHP,PKR,SGD,THB,TWD,TWD,USD,USD,USD,USD,VND,VND,AUD,BDT,CNY,CNY,HKD,IDR,INR,INR,JPY,KRW,KRW,LKR,MNT,MYR,NZD,NZD,PHP,PKR,SGD,THB,TWD,TWD,USD,USD,USD,USD,VND,VND,AUD,BDT,CNY,CNY,HKD,IDR,INR,INR,JPY,KRW,KRW,LKR,MNT,MYR,NZD,NZD,PHP,PKR,SGD,THB,TWD,TWD,USD,USD,USD,USD,VND,VND,AUD,BDT,CNY,CNY,HKD,IDR,INR,INR,JPY,KRW,KRW,LKR,MNT,MYR,NZD,NZD,PHP,PKR,SGD,THB,TWD,TWD,USD,USD,USD,USD,VND,VND,AUD,BDT,CNY,CNY,HKD,IDR,INR,INR,JPY,KRW,KRW,LKR,MNT,MYR,NZD,NZD,PHP,PKR,SGD,THB,TWD,TWD,USD,USD,USD,USD,VND,VND
Idx,S&P/ASX 200,DSE 30,SZSE Component,Shanghai,Hang Seng,IDX Composite,BSE Sensex,Nifty 50,Nikkei 225,KOSPI,KOSPI 50,CSE All-Share,MNE Top 20,KLCI,NZX 50,NZX MidCap,PSEi Composite,Karachi 100,STI Index,SET,TPEx 50,Taiwan Weighted,Dow 30,Nasdaq,Nasdaq 100,S&P 500,HNX 30,VN 30,S&P/ASX 200,DSE 30,SZSE Component,Shanghai,Hang Seng,IDX Composite,BSE Sensex,Nifty 50,Nikkei 225,KOSPI,KOSPI 50,CSE All-Share,MNE Top 20,KLCI,NZX 50,NZX MidCap,PSEi Composite,Karachi 100,STI Index,SET,TPEx 50,Taiwan Weighted,Dow 30,Nasdaq,Nasdaq 100,S&P 500,HNX 30,VN 30,S&P/ASX 200,DSE 30,SZSE Component,Shanghai,Hang Seng,IDX Composite,BSE Sensex,Nifty 50,Nikkei 225,KOSPI,KOSPI 50,CSE All-Share,MNE Top 20,KLCI,NZX 50,NZX MidCap,PSEi Composite,Karachi 100,STI Index,SET,TPEx 50,Taiwan Weighted,Dow 30,Nasdaq,Nasdaq 100,S&P 500,HNX 30,VN 30,S&P/ASX 200,DSE 30,SZSE Component,Shanghai,Hang Seng,IDX Composite,BSE Sensex,Nifty 50,Nikkei 225,KOSPI,KOSPI 50,CSE All-Share,MNE Top 20,KLCI,NZX 50,NZX MidCap,PSEi Composite,Karachi 100,STI Index,SET,TPEx 50,Taiwan Weighted,Dow 30,Nasdaq,Nasdaq 100,S&P 500,HNX 30,VN 30,S&P/ASX 200,DSE 30,SZSE Component,Shanghai,Hang Seng,IDX Composite,BSE Sensex,Nifty 50,Nikkei 225,KOSPI,KOSPI 50,CSE All-Share,MNE Top 20,KLCI,NZX 50,NZX MidCap,PSEi Composite,Karachi 100,STI Index,SET,TPEx 50,Taiwan Weighted,Dow 30,Nasdaq,Nasdaq 100,S&P 500,HNX 30,VN 30
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-06,3742.7,,,1937.14,15509.51,1435.54,,3112.8,9080.84,1194.28,,1549.47,,,2783.38,2101.11,,6074.87,,473.15,,,9015.1,1652.38,1274.49,934.7,,314.21,3762.2,,,1938.69,15651.61,1462.63,,3141.8,9171.03,1203.59,,1568.31,,,2783.38,2101.11,,6093.14,,488.12,,,9175.19,1665.63,1286.08,943.85,,314.21,3692.0,,,1871.97,15367.93,1430.1,,3056.1,9029.94,1179.94,,1539.68,,,2744.89,2076.21,,5914.63,,470.82,,,8868.07,1636.25,1265.53,927.28,,314.21,3692.0,,,1878.83,15612.47,1438.42,,3121.5,9130.01,1183.52,,1560.97,,,2744.89,2076.21,,5914.63,,483.0,,,8954.57,1642.37,1274.36,931.17,,314.21,691802496.0,,,9906700288.0,0.0,4479145472.0,,340452992.0,0.0,444195008.0,,1802020.0,,,18643366.0,8654744.0,,0.0,,3447951104.0,,,0.0,728246976.0,343802624.0,0.0,,0.0
2009-01-07,3779.7,,,1924.01,14987.46,1421.47,,2920.4,9239.24,1228.17,,1550.07,,,2764.24,2094.93,,6097.85,,462.96,,,8769.7,1599.06,1238.6,906.65,,320.53,3817.9,,,1948.23,15763.55,1472.46,,3147.2,9325.35,1228.56,,1556.57,,,2792.33,2113.27,,6143.463333333333,,479.3,,,8996.94,1625.37,1256.34,927.45,,320.53,3767.7,,,1920.52,14976.74,1414.15,,2888.2,9106.05,1195.2,,1545.29,,,2764.24,2094.93,,5961.4366666666665,,462.96,,,8690.45,1588.2,1228.32,902.37,,320.53,3769.7,,,1938.97,15759.53,1440.25,,3112.8,9133.8,1198.85,,1549.47,,,2783.38,2101.11,,5966.723333333333,,478.8,,,8996.94,1621.63,1249.98,927.45,,320.53,1020082112.0,,,9235999744.0,0.0,3951157504.0,,686886976.0,0.0,568556032.0,,2221784.0,,,20671498.0,6138795.0,,0.0,,4257886976.0,,,0.0,758196928.0,388103616.0,0.0,,0.0
2009-01-08,3694.3,,,1878.18,14415.91,1402.66,,2896.7,8876.42,1205.7,,1542.4,,,2756.65,2084.55,,6120.83,,465.03,,,8742.46,1617.01,1252.52,909.73,,314.14,3746.7,,,1894.17,14755.81,1410.93,,3038.5249999999996,9148.83,1218.43,,1559.52,,,2764.24,2094.93,,6193.786666666667,,465.49,,,8807.14,1617.01,1252.52,910.0,,314.14,3662.6,,,1862.26,14334.15,1388.1,,2849.225,8876.42,1195.15,,1536.5,,,2734.47,2079.98,,6008.243333333334,,455.44,,,8593.52,1584.28,1223.81,896.81,,314.14,3746.2,,,1890.24,14755.81,1401.09,,3016.375,9143.21,1212.7,,1550.07,,,2764.24,2094.93,,6018.816666666667,,457.11,,,8769.94,1590.25,1231.75,905.73,,314.14,639526336.0,,,8037400064.0,0.0,1309038464.0,,639434496.0,0.0,472344000.0,,1705773.0,,,24812900.0,3341818.0,,0.0,,2921643008.0,,,0.0,702638400.0,326125920.0,0.0,,0.0
2009-01-09,3735.7,,,1904.86,14377.44,1416.67,,2873.0,8836.8,1180.96,,1532.25,,,2757.41,2075.4,,6143.81,,459.06,,,8599.18,1571.59,1223.01,890.35,,312.9,3741.0,,,1909.35,14673.6,1416.67,,2929.85,8956.85,1220.59,,1545.11,,,2764.29,2085.8,,6244.11,,467.32,,,8800.45,1617.26,1252.95,911.93,,312.9,3696.0,,,1875.16,14297.41,1395.32,,2810.25,8773.2,1179.06,,1524.86,,,2749.52,2074.46,,6055.05,,458.9,,,8541.75,1569.87,1217.59,888.31,,312.9,3706.8,,,1875.16,14530.83,1400.7,,2919.95,8932.71,1214.5,,1542.4,,,2756.65,2084.55,,6070.91,,463.75,,,8738.8,1617.05,1252.6,909.91,,312.9,577924480.0,,,7122500096.0,0.0,1486117504.0,,591982016.0,0.0,443544000.0,,1138161.0,,,24612012.0,2501155.0,,0.0,,3576990976.0,,,0.0,724589248.0,338943040.0,0.0,,0.0
2009-01-12,3683.3,,,1900.35,13971.0,1406.55,,2773.1,8519.6325,1156.75,,1533.79,,,2768.27,2083.01,,6041.44,,452.8,,,8473.97,1538.79,1201.13,870.26,,312.22,3722.0,,,1924.44,14312.26,1411.23,,2869.2,8788.91,1177.19,,1555.06,,,2775.69,2088.76,,6239.49,,460.82,,,8653.97,1573.46,1225.78,890.4,,312.22,3655.8,,,1886.83,13895.04,1392.22,,2748.55,8497.425,1150.41,,1529.0,,,2756.62,2075.4,,5913.41,,451.1,,,8391.85,1528.0,1188.21,864.32,,312.22,3722.0,,,1897.7,14312.26,1406.78,,2868.85,8782.65,1170.69,,1532.25,,,2757.41,2075.4,,6148.96,,459.52,,,8599.26,1573.45,1225.12,890.4,,312.22,530126976.0,,,8364599808.0,0.0,1054769024.0,,382113984.0,0.0,352671008.0,,3370922.0,,,17421578.0,7262272.0,,0.0,,2953600000.0,,,0.0,645321600.0,299021952.0,0.0,,0.0
2009-01-13,3654.6,,,1863.37,13668.05,1399.73,,2744.95,8413.91,1167.71,,1576.25,,,2774.64,2076.18,,6059.09,,433.81,,,8448.56,1546.46,1202.65,871.79,,306.75,3665.5,,,1888.31,14118.93,1412.68,,2802.6,8732.93,1168.04,,1588.93,,,2776.67,2083.01,,6140.36,,451.18,,,8584.68,1557.95,1219.05,877.02,,306.75,3610.7,,,1861.81,13644.54,1392.36,,2720.8,8405.5,1133.94,,1532.4,,,2731.88,2070.15,,5929.2,,433.81,,,8325.59,1527.47,1186.95,862.02,,306.75,3665.5,,,1880.87,13930.27,1395.45,,2775.0,8732.63,1147.99,,1533.79,,,2768.27,2083.01,,6039.48,,448.3,,,8474.61,1537.42,1200.92,869.79,,306.75,582242240.0,,,7383600128.0,0.0,1263052544.0,,252698000.0,0.0,381507008.0,,8594934.0,,,19037778.0,5530444.0,,0.0,,3377216000.0,,,0.0,726887104.0,378152320.0,0.0,,0.0
2009-01-14,3687.0,,,1928.87,13704.61,1386.91,,2835.3,8438.45,1182.68,,1602.56,,,2786.78,2082.51,,6051.1,,439.51,,,8200.14,1489.64,1163.42,842.62,,308.28,3690.8,,,1929.28,14019.03,1416.06,,2853.25,8516.07,1184.52,,1616.695,,,2789.09,2083.18,,6113.25,,442.65,,,8446.01,1528.65,1190.42,867.28,,308.28,3641.1,,,1862.31,13674.96,1383.26,,2748.4,8359.16,1151.8,,1554.325,,,2762.01,2074.16,,6020.64,,431.2,,,8097.95,1485.26,1157.89,836.93,,308.28,3664.7,,,1862.31,13807.03,1406.51,,2748.4,8425.75,1161.01,,1555.02,,,2774.64,2076.18,,6055.58,,440.3,,,8446.01,1521.71,1183.79,867.28,,308.28,623242944.0,,,8791799808.0,0.0,2991325440.0,,217304992.0,0.0,358876992.0,,9023344.5,,,17845696.0,4710923.0,,0.0,,3020477952.0,,,0.0,740741696.0,365936416.0,0.0,,0.0
