,Pair,Model,Transformation,Shuffle,MSE,R2
0,BDT,LinearRegression,,True,8.789451042543956e-06,0.035503664006271696
1,BDT,LinearRegression,,False,8.16740563025528e-06,0.00158155397389792
2,BDT,LinearRegression,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.0011712705753181543,0.11336544413786875
3,BDT,LinearRegression,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.001188297873093368,0.0015815539738983642
4,BDT,LinearRegression,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.008278305555400456,-0.0333709095133643
5,BDT,LinearRegression,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.003467359962571654,0.0015815539739005846
6,BDT,LinearRegression,<class 'sklearn.preprocessing._data.StandardScaler'>,True,1.5528850803098495,0.038300109992638554
7,BDT,LinearRegression,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.976019144726983,0.0015815539738994744
8,BDT,LinearRegression,<class 'sklearn.preprocessing._data.RobustScaler'>,True,14.173369097602754,-0.050406964746591454
9,BDT,LinearRegression,<class 'sklearn.preprocessing._data.RobustScaler'>,False,30.71696808423012,0.001581553973902472
10,BDT,LinearRegression,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6623755409260556,0.006879518789815076
11,BDT,LinearRegression,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7495154954923039,0.008110789778947414
12,BDT,LinearRegression,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.0738128839585437,0.0708361741200697
13,BDT,LinearRegression,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08409796240084348,0.051650112732031794
14,BDT,LinearRegression,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,1.3709991753221027,-0.010709211069937608
15,BDT,LinearRegression,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,1.0156363049070565,0.010360389107536117
16,BDT,LinearRegression,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,6.07472495208931e-06,0.04321189670119685
17,BDT,LinearRegression,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,7.91087154537581e-06,0.032717143928517434
18,BDT,Ridge,,True,1.1690822431306067e-05,0.006362230048806761
19,BDT,Ridge,,False,8.144470820767476e-06,0.004385202756063689
20,BDT,Ridge,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.004691298458922052,0.07105893561883858
21,BDT,Ridge,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011411771641668216,0.04117279287733988
22,BDT,Ridge,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.007632841246604268,0.05804327919611063
23,BDT,Ridge,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.0033443549127961294,0.037000579392639454
24,BDT,Ridge,<class 'sklearn.preprocessing._data.StandardScaler'>,True,0.5069204003399467,0.03865750249698596
25,BDT,Ridge,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9476801525428221,0.03057091621265995
26,BDT,Ridge,<class 'sklearn.preprocessing._data.RobustScaler'>,True,39.49560318557861,0.05770771770768668
27,BDT,Ridge,<class 'sklearn.preprocessing._data.RobustScaler'>,False,29.887014571121373,0.02855820396617037
28,BDT,Ridge,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6335848055712623,0.042459263541379744
29,BDT,Ridge,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7303860528285153,0.03342619404993097
30,BDT,Ridge,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.07608789142284592,0.08300933263991128
31,BDT,Ridge,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08402798202790861,0.052439262396175024
32,BDT,Ridge,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,0.7617488368135358,0.14191532367179904
33,BDT,Ridge,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,1.012653947840805,0.013266408390548712
34,BDT,Ridge,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,4.959513754476985e-06,0.006876540161151912
35,BDT,Ridge,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,8.141269451538432e-06,0.0045457922098640635
36,BDT,RidgeCV,,True,7.349214733745039e-06,0.03143488163956876
37,BDT,RidgeCV,,False,7.945541034803584e-06,0.028703226956383276
38,BDT,RidgeCV,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.000781432806242443,-0.018649086224570288
39,BDT,RidgeCV,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011411771641668198,0.04117279287734121
40,BDT,RidgeCV,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.0029847709411581105,0.07125125572901769
41,BDT,RidgeCV,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.0032977925707006342,0.05040810031349585
42,BDT,RidgeCV,<class 'sklearn.preprocessing._data.StandardScaler'>,True,0.776650753420477,-0.04020681580569918
43,BDT,RidgeCV,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9457188400728855,0.032577240124424534
44,BDT,RidgeCV,<class 'sklearn.preprocessing._data.RobustScaler'>,True,29.887735576558075,-0.08862456591511969
45,BDT,RidgeCV,<class 'sklearn.preprocessing._data.RobustScaler'>,False,29.7702094903746,0.03235481393390405
46,BDT,RidgeCV,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6720594136785688,0.02176582651286796
47,BDT,RidgeCV,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7332257620283246,0.029668197140732655
48,BDT,RidgeCV,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.07977890885913419,0.04503082404054881
49,BDT,RidgeCV,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08365059351848102,0.056694970146453305
50,BDT,RidgeCV,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,1.0579906157709724,0.17213647799234666
51,BDT,RidgeCV,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,1.0037413625278744,0.021950863070358206
52,BDT,RidgeCV,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,6.678692755738669e-06,0.027153065302475854
53,BDT,RidgeCV,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,7.94240560977739e-06,0.02886139179009084
54,BDT,Lasso,,True,1.3878784397023133e-05,-0.0002630130448195711
55,BDT,Lasso,,False,8.181927416804531e-06,-0.0001936510564872762
56,BDT,Lasso,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.000780985781646501,-0.0009464817411470872
57,BDT,Lasso,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011904106869844852,-0.00019365105648705416
58,BDT,Lasso,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.0035111567291542093,-0.002335802859603664
59,BDT,Lasso,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.0034735249877394306,-0.0001936510564872762
60,BDT,Lasso,<class 'sklearn.preprocessing._data.StandardScaler'>,True,1.214352306275108,-8.575829754264852e-05
61,BDT,Lasso,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9777545234175202,-0.00019365105648705416
62,BDT,Lasso,<class 'sklearn.preprocessing._data.RobustScaler'>,True,33.3897457424971,-0.014832929484617674
63,BDT,Lasso,<class 'sklearn.preprocessing._data.RobustScaler'>,False,27.819793341754767,0.09575076677890393
64,BDT,Lasso,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.70762347998059,-3.958127494652075e-07
65,BDT,Lasso,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7627619244222584,-0.009419187931455575
66,BDT,Lasso,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.08348561727036234,-0.006766931056925607
67,BDT,Lasso,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08892573201212987,-0.002791334312745253
68,BDT,Lasso,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,0.7674714178970341,-0.0011376179716382495
69,BDT,Lasso,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,1.0264651697258023,-0.00019129510644178005
70,BDT,Lasso,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,6.1334891996897086e-06,-0.000988294073263729
71,BDT,Lasso,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,8.180024859819066e-06,-0.00019293244201334936
72,BDT,LassoCV,,True,8.319164763201793e-06,0.051834017361086504
73,BDT,LassoCV,,False,7.881477865700508e-06,0.036534581567505
74,BDT,LassoCV,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.0010972710940527547,0.11510621997719861
75,BDT,LassoCV,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011429613584789246,0.03967369694118261
76,BDT,LassoCV,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.002579468585620754,0.053485947891569574
77,BDT,LassoCV,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.003330754402352874,0.04091681556324034
78,BDT,LassoCV,<class 'sklearn.preprocessing._data.StandardScaler'>,True,0.9027036696361774,0.06481957212365896
79,BDT,LassoCV,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9355346141332659,0.042995190521758264
80,BDT,LassoCV,<class 'sklearn.preprocessing._data.RobustScaler'>,True,24.92351324302543,0.0705531375375319
81,BDT,LassoCV,<class 'sklearn.preprocessing._data.RobustScaler'>,False,28.611740102307902,0.07000948099058424
82,BDT,LassoCV,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6730367309321831,0.059066306533857804
83,BDT,LassoCV,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7356295931992256,0.026487029818710095
84,BDT,LassoCV,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.07478229513777564,0.061163322302809076
85,BDT,LassoCV,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08455552387195503,0.046490316261832754
86,BDT,LassoCV,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,1.6418230943379606,0.1061210442317645
87,BDT,LassoCV,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,0.9867487315358575,0.038508542863537554
88,BDT,LassoCV,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,5.3483074556003445e-06,0.028420016955889804
89,BDT,LassoCV,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,7.884835599932378e-06,0.035900626750175135
90,BDT,LassoLarsCV,,True,6.539911799990133e-06,0.09593549951513536
91,BDT,LassoLarsCV,,False,7.840430940315221e-06,0.041552332529391056
92,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.001675904064300441,0.11623447196936365
93,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011407254435850534,0.041552332529390834
94,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.0021109437067916804,0.1072823581811827
95,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.003328547345689672,0.041552332529390945
96,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.StandardScaler'>,True,0.9332232076779496,0.10957849782220952
97,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9369451019195021,0.041552332529390945
98,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.RobustScaler'>,True,24.393754062382126,0.1153291138860495
99,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.RobustScaler'>,False,29.48724207698577,0.0415523325293915
100,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6738935650183981,0.034912785279326064
101,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.730016467215198,0.033915293987566764
102,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.07545937942605967,0.01312824304671023
103,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08456270357841666,0.04640935266153701
104,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,0.9633786243426518,-0.039351277290882614
105,BDT,LassoLarsCV,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,0.9864527468913591,0.038796951348933684
106,BDT,LassoLarsCV,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,1.060069320419061e-05,0.051610608211550724
107,BDT,LassoLarsCV,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,7.845073049357558e-06,0.040762497311982115
108,BDT,LassoLarsIC,,True,7.201247367455878e-06,0.0038826977965031872
109,BDT,LassoLarsIC,,False,7.859879057935454e-06,0.03917491180957311
110,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.001784074389869442,0.032157044138763635
111,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011435550026702766,0.03917491180957322
112,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.0025219972868780285,0.024735426040795372
113,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.0033368037770996647,0.03917491180957278
114,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.StandardScaler'>,True,1.1609401569119613,0.12624041293981014
115,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9392691857210873,0.03917491180957278
116,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.RobustScaler'>,True,18.179091992076337,0.13330299526679001
117,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.RobustScaler'>,False,29.560384912701696,0.03917491180957344
118,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6530731698382534,0.06060227622467884
119,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7296454577691853,0.03440627818816466
120,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.07426938529938419,0.06974413330389773
121,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08389402250037259,0.0539498876147948
122,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,1.1878080605810355,0.06088859472145902
123,BDT,LassoLarsIC,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,1.015636304907057,0.010360389107535783
124,BDT,LassoLarsIC,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,6.4033359170861965e-06,0.0699951206974524
125,BDT,LassoLarsIC,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,7.827550490088008e-06,0.04290502624557868
126,BDT,MultiTaskLasso,,True,1.3829499481292602e-05,-0.005232059749975537
127,BDT,MultiTaskLasso,,False,8.181927416804531e-06,-0.0001936510564872762
128,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.004158796728836747,-0.0038987304116546717
129,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011904106869844852,-0.00019365105648705416
130,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.004306502928549151,-0.0023398486938808194
131,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.0034735249877394306,-0.0001936510564872762
132,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.StandardScaler'>,True,0.8956129033185768,-3.7892049680188222e-06
133,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.StandardScaler'>,False,0.9777545234175202,-0.00019365105648705416
134,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.RobustScaler'>,True,19.615752237562333,0.08883844085546033
135,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.RobustScaler'>,False,27.819793341754767,0.09575076677890393
136,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.Normalizer'>,True,0.6932687538879837,-0.0024604153788896355
137,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.Normalizer'>,False,0.7627619244222584,-0.009419187931455575
138,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.QuantileTransformer'>,True,0.07942518887491519,-0.0005009361801009415
139,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.QuantileTransformer'>,False,0.08892573201212987,-0.002791334312745253
140,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.PowerTransformer'>,True,1.0965820203155885,-0.0002607770219689165
141,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._data.PowerTransformer'>,False,1.0264651697258023,-0.00019129510644178005
142,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,True,6.962363161046668e-06,-0.002658907677580258
143,BDT,MultiTaskLasso,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,False,8.180024859819066e-06,-0.00019293244201334936
144,BDT,ElasticNet,,True,1.123116630055509e-05,-0.0009423159893731103
145,BDT,ElasticNet,,False,8.181927416804531e-06,-0.0001936510564872762
146,BDT,ElasticNet,<class 'sklearn.preprocessing._data.MinMaxScaler'>,True,0.0013840026937806445,-0.001836986155919984
147,BDT,ElasticNet,<class 'sklearn.preprocessing._data.MinMaxScaler'>,False,0.0011904106869844852,-0.00019365105648705416
148,BDT,ElasticNet,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,True,0.007212552491718221,-0.0017911365454823525
149,BDT,ElasticNet,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,False,0.0034735249877394306,-0.0001936510564872762
