,accuracy,args,target_market,feature_used
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 3}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 7}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 1}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 4}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 9}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 6}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 8}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 5}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 2}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 8}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 3}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 10}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 1}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 2}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 5}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 9}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 6}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'sag', 'random_state': 6}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 4}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 2}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 4}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 3}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 7}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 10}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 1}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 6}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 5}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 9}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
0,0.6028368794326241,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 8}","('LKR', 'CSE All-Share')","('MNT', 'MNE Top 20')"
