,accuracy,args,target_market,feature_used
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0001, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.00030000000000000003, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0005000000000000001, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0005000000000000001, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0013000000000000002, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0011000000000000003, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0009000000000000002, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0019000000000000004, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.00030000000000000003, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0025, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0021000000000000003, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0007000000000000001, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0015000000000000002, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0017000000000000003, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0023000000000000004, 'solver': 'auto'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0011000000000000003, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0009000000000000002, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0027, 'solver': 'auto'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0019000000000000004, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0015000000000000002, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0013000000000000002, 'solver': 'auto'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0023000000000000004, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0029000000000000002, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0027, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0017000000000000003, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0031000000000000003, 'solver': 'auto'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0007000000000000001, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0035000000000000005, 'solver': 'auto'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0021000000000000003, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0025, 'solver': 'sag'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0031000000000000003, 'solver': 'sag'}",BDT,VND
0,0.5555555555555556,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0029000000000000002, 'solver': 'auto'}",BDT,VND
0,0.5574712643678161,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0001, 'solver': 'sag'}",BDT,VND
0,0.5593869731800766,"{'alpha': 0.001, 'fit_intercept': False, 'normalize': True, 'tol': 0.0033000000000000004, 'solver': 'sag'}",BDT,VND
