,Pair,Model,Transformation,Shuffle,Poly,Features transformed,F1,Precision,Recall,AUC
0,BDT,BaggingClassifier,Binarizer,True,False,True,0.6243748141150125,0.6579855144410076,0.6877394636015326,
1,BDT,BaggingClassifier,Binarizer,True,False,False,0.6137038122409763,0.6303397234421788,0.6647509578544061,
2,BDT,BaggingClassifier,Binarizer,False,False,True,0.5684188009990626,0.5738462820196779,0.5651340996168582,
3,BDT,BaggingClassifier,Binarizer,False,False,False,0.5027842988475091,0.5532562061679285,0.5038314176245211,
4,BDT,BaggingClassifier,KBinsDiscretizer,True,False,True,0.8619311513999176,0.8404346807529832,0.8888888888888888,
5,BDT,BaggingClassifier,KBinsDiscretizer,True,False,False,0.8154409659721487,0.766044061302682,0.8716475095785441,
6,BDT,BaggingClassifier,KBinsDiscretizer,False,False,True,0.8001668647777986,0.7630570679572494,0.8524904214559387,
7,BDT,BaggingClassifier,KBinsDiscretizer,False,False,False,0.8091760027159417,0.785956380783967,0.842911877394636,
8,BDT,AdaBoostClassifier,Binarizer,True,False,True,0.6395119995525674,0.6356931816015707,0.6590038314176245,0.6529657120336311
9,BDT,AdaBoostClassifier,Binarizer,True,False,False,0.6445336358083937,0.6394540014958864,0.6551724137931034,0.6746432818073722
10,BDT,AdaBoostClassifier,Binarizer,False,False,True,0.5242381031930369,0.5355943914927581,0.5191570881226054,0.5234115767481873
11,BDT,AdaBoostClassifier,Binarizer,False,False,False,0.5108864780381622,0.5606446664710636,0.5114942528735632,0.5622158043504977
12,BDT,AdaBoostClassifier,KBinsDiscretizer,True,False,True,0.8283384587801046,0.7799393725870143,0.8831417624521073,
13,BDT,AdaBoostClassifier,KBinsDiscretizer,True,False,False,0.9011283563920688,0.9198628336559371,0.8831417624521073,
14,BDT,AdaBoostClassifier,KBinsDiscretizer,False,False,True,0.8036693494457425,0.7497834735250509,0.8659003831417624,
15,BDT,AdaBoostClassifier,KBinsDiscretizer,False,False,False,0.8036693494457425,0.7497834735250509,0.8659003831417624,
16,BDT,ExtraTreesClassifier,Binarizer,True,False,True,0.5624453854943873,0.5812569905523428,0.6398467432950191,
17,BDT,ExtraTreesClassifier,Binarizer,True,False,False,0.5985027807539506,0.580693178315057,0.6340996168582376,
18,BDT,ExtraTreesClassifier,Binarizer,False,False,True,0.5093952659727294,0.5459173735267492,0.5957854406130269,
19,BDT,ExtraTreesClassifier,Binarizer,False,False,False,0.4666471342219553,0.5645252309245893,0.6053639846743295,
20,BDT,ExtraTreesClassifier,KBinsDiscretizer,True,False,True,0.8374506486181614,0.7916400085306036,0.8888888888888888,
21,BDT,ExtraTreesClassifier,KBinsDiscretizer,True,False,False,0.8291780789849474,0.7829354553492485,0.8812260536398467,
22,BDT,ExtraTreesClassifier,KBinsDiscretizer,False,False,True,0.8036693494457425,0.7497834735250509,0.8659003831417624,
23,BDT,ExtraTreesClassifier,KBinsDiscretizer,False,False,False,0.8036693494457425,0.7497834735250509,0.8659003831417624,
24,BDT,GradientBoostingClassifier,Binarizer,True,False,True,0.6160344827586207,0.6189753811198563,0.6436781609195402,0.6322830767275212
25,BDT,GradientBoostingClassifier,Binarizer,True,False,False,0.6593738399276684,0.6649017841825356,0.6800766283524904,0.6891335780224669
26,BDT,GradientBoostingClassifier,Binarizer,False,False,True,0.5226613641216875,0.5390274768663819,0.5172413793103449,0.5326133710212608
27,BDT,GradientBoostingClassifier,Binarizer,False,False,False,0.5120217016860774,0.5854172725313426,0.5191570881226054,0.5800510015976404
28,BDT,GradientBoostingClassifier,KBinsDiscretizer,True,False,True,0.8268862594035028,0.8043088030096286,0.8524904214559387,
29,BDT,GradientBoostingClassifier,KBinsDiscretizer,True,False,False,0.8285048534011189,0.8067777777777778,0.8582375478927203,
30,BDT,GradientBoostingClassifier,KBinsDiscretizer,False,False,True,0.7974764393834348,0.7770473621024827,0.8256704980842912,
31,BDT,GradientBoostingClassifier,KBinsDiscretizer,False,False,False,0.7457412015901361,0.7662015815519709,0.7279693486590039,
32,BDT,RandomForestClassifier,Binarizer,True,False,True,0.5716763283033911,0.5847655911948201,0.657088122605364,
33,BDT,RandomForestClassifier,Binarizer,True,False,False,0.5958983528248505,0.6173080273200644,0.6762452107279694,
34,BDT,RandomForestClassifier,Binarizer,False,False,True,0.49111979314119625,0.5507282545658518,0.6015325670498084,
35,BDT,RandomForestClassifier,Binarizer,False,False,False,0.5144085151337072,0.6226995368757822,0.6187739463601533,
36,BDT,RandomForestClassifier,KBinsDiscretizer,True,False,True,0.8154409659721487,0.766044061302682,0.8716475095785441,
37,BDT,RandomForestClassifier,KBinsDiscretizer,True,False,False,0.9429028975095786,0.9248396236109276,0.9616858237547893,
38,BDT,RandomForestClassifier,KBinsDiscretizer,False,False,True,0.8036693494457425,0.7497834735250509,0.8659003831417624,
39,BDT,RandomForestClassifier,KBinsDiscretizer,False,False,False,0.8082677927381474,0.8738279612592936,0.867816091954023,
