,Pair,Model,Transformation,Shuffle,Poly,Features transformed,F1,Precision,Recall,AUC
0,BDT,RidgeClassifier,Binarizer,True,True,True,0.6585601974565342,0.6632194588347454,0.6877394636015326,0.6563840535303178
1,BDT,RidgeClassifier,Binarizer,True,True,False,0.5624541678207678,0.7854332590582508,0.6877394636015326,0.6195837307535087
2,BDT,RidgeClassifier,Binarizer,True,False,True,0.6056422463855181,0.6469990088942091,0.6743295019157088,0.6428641611397691
3,BDT,RidgeClassifier,Binarizer,True,False,False,0.5515913869690542,0.6212864721485412,0.6781609195402298,0.6272531611514662
4,BDT,RidgeClassifier,Binarizer,False,True,True,0.5564532893127905,0.5799164521812558,0.5517241379310345,0.5756651714391053
5,BDT,RidgeClassifier,Binarizer,False,True,False,0.45655135837013877,0.36646555394078184,0.6053639846743295,0.41847425341034783
6,BDT,RidgeClassifier,Binarizer,False,False,True,0.5748730653712615,0.5734520609017372,0.5766283524904214,0.6039234361558313
7,BDT,RidgeClassifier,Binarizer,False,False,False,0.45655135837013877,0.36646555394078184,0.6053639846743295,0.4184588914833477
8,BDT,RidgeClassifier,KBinsDiscretizer,True,True,True,0.8462633793182529,0.8337582034065476,0.8773946360153256,
9,BDT,RidgeClassifier,KBinsDiscretizer,True,True,False,0.8421207749701397,0.7969495456613966,0.89272030651341,
10,BDT,RidgeClassifier,KBinsDiscretizer,True,False,True,0.8476489028213166,0.8038049940546969,0.896551724137931,
11,BDT,RidgeClassifier,KBinsDiscretizer,True,False,False,0.9571059951074026,0.9433544721891928,0.9712643678160919,
12,BDT,RidgeClassifier,KBinsDiscretizer,False,True,True,0.7981354563286027,0.7601243557785834,0.8486590038314177,
13,BDT,RidgeClassifier,KBinsDiscretizer,False,True,False,0.8036693494457425,0.7497834735250509,0.8659003831417624,
14,BDT,RidgeClassifier,KBinsDiscretizer,False,False,True,0.8036693494457425,0.7497834735250509,0.8659003831417624,
15,BDT,RidgeClassifier,KBinsDiscretizer,False,False,False,0.8036693494457425,0.7497834735250509,0.8659003831417624,
