,Pair,Model,Transformation,Shuffle,MSE,R2
0,BDT,LinearRegression,,True,5.84388243840841e-06,0.12911681307493073
1,BDT,LinearRegression,,False,8.020649754580302e-06,0.01952161719223866
2,BDT,LinearRegression,MinMaxScaler,True,0.0007083892189678566,-0.15770291062050723
3,BDT,LinearRegression,MaxAbsScaler,True,0.002947001142093271,0.11336049505265822
4,BDT,LinearRegression,StandardScaler,True,0.637082125853473,0.05927041599186855
5,BDT,LinearRegression,RobustScaler,True,18.230202557592925,-0.06582066337862091
6,BDT,LinearRegression,Normalizer,True,0.6760618712456881,0.06333841999405065
7,BDT,LinearRegression,QuantileTransformer,True,0.07737119668806622,0.1095525776777797
8,BDT,LinearRegression,PowerTransformer,True,1.4417276218211876,-0.12525155836067503
9,BDT,LinearRegression,FunctionTransformer,True,7.087755145572578e-06,-0.10237142912682073
10,BDT,LinearRegression,FunctionTransformer,False,7.96765079647653e-06,0.025774597098464636
